3,2.4951,2,10,10,1,0.76,3,2,10,165
1,0.98497,2,10,10,1,0.41,1,2,10,120
2,2.6808,4,10,9,1,0.24,2,2,9,80
2,1.4031,4,0,0,1,0,4,1,0,125
1,0.85712,4,9,10,1.5,0.16,1,2,9,130
1,2.3779,3,10,10,1,0.56,2,2,10,100
1,0.94508,2,10,10,1,0.23,2,1,10,185
1,2.7982,4,8,8,1,0.33,1,1,8,129
2,2.0455,3,10,10,1,0.34,1,2,10,136
1,2.3086,2,10,10,1,1.03,3,1,10,50
2,2.5077,4,0,0,1,0,2,2,0,181
1,2.5443,2,7,9,1,6,1,1,7,79
1,2.4655,2,10,8,1,0.36,3,1,10,105
3,4.839,4,10,8,1,0.36,2,4,10,200
1,3.3137,4,10,10,1,0.46,4,2,10,99
1,1.1431,2,7,9,1,2.55,2,1,9,150
1,3.0128,2,10,9,1.5,0.63,3,1,9,75
1,5.0542,2,10,9,1,3,1,0,10,45
1,4.7984,2,10,10,1,1.7,2,1,10,60
1,2.4443,2,10,10,1,1.58,3,1,10,100
1,1.9237,2,10,9,1,0.23,3,1,10,100
1,2.5578,2,10,10,1,1.62,1,1,10,85
1,2.6112,2,9,9,1,6.44,3,1,9,75
2,0.77345,4,10,10,2,0.96,2,1,10,209
1,0.96595,2,10,10,1,1,1,1,10,155
2,8.0438,4,10,10,1,0.46,3,4,10,169
2,2.1862,4,10,8,1,0.31,4,2,9,90
1,2.3107,2,10,9,1,1.29,1,0,10,120
1,1.8969,3,9,9,0.5,3.86,1,2,10,80
1,3.1085,1,0,0,1,0,4,1,0,30
1,2.4454,2,10,9,0,1.2,1,1,10,65
1,2.3087,2,10,10,1,5.87,1,1,10,74
1,1.7779,4,10,10,1,2.26,1,1,10,146
1,2.8637,2,0,0,1,0,1,1,0,125
2,1.9976,4,10,10,1.5,0.16,3,1,10,181
1,3.4507,3,10,10,1,1.55,1,2,10,160
1,3.2693,3,9,9,1,0.37,3,1,10,100
1,0.90128,3,10,10,1,0.92,2,2,10,122
1,3.8633,2,10,10,1,3.16,2,1,10,65
1,2.8263,2,10,9,1,1.88,1,1,10,105
1,5.2334,1,9,9,1,2,2,1,9,51
1,1.8851,2,10,9,1,1.88,3,2,10,100
1,0.83194,1,10,10,1,0.87,2,1,10,125
2,2.4365,4,10,9,2,1.25,2,2,10,220
1,2.425,4,10,9,1.5,0.59,3,1,10,140
1,2.2508,4,9,10,1.5,1.37,1,2,9,175
2,3.7395,4,10,9,1.5,0.62,3,1,9,99
1,3.2697,2,10,9,1.5,1.47,2,2,10,120
1,3.3066,2,10,9,1,2.63,3,1,10,89
1,3.3836,2,9,9,1,0.72,4,1,10,45
4,7.5597,5,0,0,1,0,3,1,0,150
1,2.5196,2,10,9,1,0.73,4,1,10,84
2,1.1667,4,0,0,1.5,0,2,1,0,160
4,0.099452,9,10,10,3,0.43,3,2,10,251
1,2.4577,2,10,9,1,2.14,2,1,10,150
1,3.263,3,10,10,1,0.53,2,2,10,100
1,4.0747,2,10,9,1,3.16,1,0,10,70
1,3.4762,2,9,9,1,0.17,4,2,9,120
0,0.9506,2,0,0,1,0,4,1,0,140
1,2.4307,2,10,9,1,0.87,2,1,10,95
1,3.1112,2,9,8,1,0.6,4,1,10,95
1,1.164,2,10,10,1,5.45,2,2,10,129
1,3.9166,2,10,10,1,1.33,3,1,10,90
1,2.2152,2,10,10,1,1.21,2,1,10,95
1,2.5516,2,10,10,1,0.21,1,1,10,95
