accommodates,bathrooms,cleaning_fee,distance_to_dam,bedrooms,minimum_nights,review_scores_location,beds,reviews_per_month,review_scores_communication
1.6,2.13,1.64102564103,3.72734294542,1.9,1.00900900901,10.0,1.5625,1.17632653061,9.1
2.8,2.6875,2.28205128205,1.74922760041,1.9,1.01801801802,10.0,2.6875,1.42612244898,10.0
2.8,2.13,1.94871794872,2.80895983522,2.8,1.02702702703,10.0,2.13,1.3012244898,10.0
2.8,2.13,2.02564102564,2.9008753862,1.9,1.0,10.0,1.5625,1.36734693878,10.0
2.8,2.6875,1.0,3.18125643666,2.8,1.04504504505,1.0,2.6875,1.0,1.0
1.6,2.13,1.0,1.96163748713,1.9,1.00900900901,9.1,1.5625,1.80081632653,10.0
1.6,2.13,1.0,2.52548918641,1.9,1.0,10.0,1.5625,1.33795918367,10.0
1.6,2.13,1.0,2.3316168898,1.9,1.0,1.0,1.5625,1.0,1.0
4.0,2.13,2.28205128205,2.0605046344,3.7,1.01801801802,10.0,3.8125,1.71265306122,10.0
1.6,2.13,1.0,4.80870236869,1.9,1.0,1.0,1.5625,1.0,1.0
1.6,2.13,1.51282051282,3.16889804325,1.9,1.00900900901,10.0,1.5625,1.47020408163,9.1
2.8,2.13,1.0,2.02729145211,2.8,1.0,10.0,2.13,1.92571428571,10.0
4.0,3.8125,2.92307692308,1.78398558187,2.8,1.05405405405,10.0,3.8125,2.35183673469,10.0
1.6,2.13,2.15384615385,2.59114315139,1.9,1.01801801802,10.0,1.5625,2.08734693878,10.0
1.6,2.13,1.0,6.56745623069,1.9,1.00900900901,1.0,2.13,1.0,1.0
1.6,2.13,1.0,2.21961894954,1.9,1.00900900901,10.0,1.5625,1.0587755102,10.0
4.0,2.13,1.76923076923,3.37049433574,2.8,1.00900900901,9.1,2.6875,3.20408163265,10.0
1.6,2.13,1.0,5.2798661174,1.9,1.00900900901,10.0,2.13,1.26448979592,10.0
2.8,2.13,1.89743589744,1.91761071061,2.8,1.00900900901,10.0,2.13,2.23428571429,10.0
2.8,2.13,1.64102564103,2.03656024717,2.8,1.00900900901,9.1,2.13,1.95510204082,9.1
1.6,1.0,1.76923076923,1.71524201854,1.9,1.01801801802,10.0,1.5625,1.64653061224,10.0
1.6,2.13,1.38461538462,2.07131822863,1.9,1.00900900901,10.0,1.5625,2.03591836735,10.0
1.6,3.25,1.0,2.91246138002,1.9,1.0,10.0,1.5625,2.21224489796,9.1
1.6,2.13,1.30769230769,2.02188465499,1.9,1.00900900901,9.1,1.5625,1.49959183673,10.0
1.6,2.13,1.0,4.51596292482,1.9,1.0,9.1,1.5625,2.23428571429,10.0
2.8,2.6875,2.92307692308,3.53887744593,3.7,1.01801801802,1.0,3.25,1.0,1.0
2.8,2.13,1.0,4.69747682801,2.8,1.00900900901,10.0,2.13,1.05142857143,10.0
2.2,2.13,1.89743589744,2.74485066941,3.7,1.00900900901,1.0,3.25,1.0,1.0
1.6,2.13,1.0,3.53115345005,1.9,1.0,9.1,1.5625,2.50612244898,9.1
1.6,2.13,1.51282051282,3.85401647786,1.9,1.01801801802,8.2,1.5625,1.73469387755,10.0
1.6,2.13,2.0,4.1096807415,1.9,1.00900900901,1.0,1.5625,1.0,1.0
2.8,2.13,2.53846153846,1.72605561277,3.7,1.03603603604,10.0,2.6875,1.14693877551,10.0
1.6,2.13,1.89743589744,2.34706488157,1.9,1.02702702703,10.0,1.5625,2.84408163265,10.0
4.0,3.25,3.05128205128,3.04531410917,4.6,1.00900900901,9.1,4.38,1.47755102041,10.0
1.6,2.13,1.64102564103,2.89546858908,1.9,1.01801801802,10.0,1.5625,1.83020408163,10.0
1.6,2.13,1.89743589744,2.48764160659,1.9,1.03603603604,10.0,1.5625,1.10285714286,8.2
1.6,2.13,1.89743589744,1.72760041195,1.9,1.0,1.0,1.5625,1.0,1.0
2.8,2.13,1.0,5.76802265705,1.9,1.0,9.1,3.25,3.27755102041,9.1
2.8,2.13,2.28205128205,4.71292481977,1.9,1.0,1.0,2.13,1.0,1.0
1.6,2.13,1.0,4.4588053553,1.9,1.00900900901,8.2,1.5625,1.58775510204,10.0
3.4,2.13,1.89743589744,1.51287332647,1.9,1.01801801802,10.0,2.6875,1.73469387755,10.0
1.6,2.6875,1.0,4.03553038105,1.9,1.0,8.2,1.5625,2.38857142857,9.1
1.6,2.13,1.76923076923,1.85118434604,1.9,1.01801801802,10.0,1.5625,3.24081632653,10.0
2.2,2.13,1.0,2.42044284243,2.8,1.0,1.0,2.6875,1.0,1.0
1.6,2.13,1.0,2.09757981462,1.9,1.03603603604,10.0,2.13,1.47755102041,10.0
1.6,2.13,1.0,2.27136972194,1.9,1.0,10.0,1.5625,1.63183673469,10.0
1.6,2.13,1.76923076923,2.77420185376,2.8,1.00900900901,9.1,2.13,1.11020408163,10.0
1.0,3.25,1.0,2.52935118435,1.9,1.08108108108,10.0,1.5625,1.08081632653,4.6
1.6,2.13,1.0,1.2780638517,1.9,1.02702702703,10.0,1.5625,1.30857142857,10.0
1.6,2.13,1.0,3.83934088568,1.9,1.0,10.0,1.5625,1.25714285714,10.0
1.6,2.13,1.0,4.14752832132,1.9,1.00900900901,9.1,1.5625,3.04979591837,10.0
2.8,2.13,1.0,2.89160659114,1.9,1.01801801802,9.1,2.13,2.14612244898,10.0
1.6,2.13,1.76923076923,2.06591143151,2.8,1.03603603604,9.1,2.13,1.16163265306,9.1
2.8,2.6875,1.25641025641,7.56539649846,2.8,1.0,1.0,2.13,1.0,1.0
3.4,2.13,1.89743589744,1.34526261586,1.9,1.05405405405,10.0,2.6875,2.16816326531,10.0
1.6,2.13,1.76923076923,1.56694129763,1.9,1.02702702703,10.0,1.5625,1.80081632653,10.0
1.6,2.13,1.64102564103,2.9008753862,1.9,1.01801801802,10.0,2.13,3.5787755102,10.0
1.6,2.13,2.02564102564,3.36277033986,1.9,1.02702702703,9.1,1.5625,1.94040816327,10.0
2.2,2.13,1.76923076923,9.40447991761,1.9,1.00900900901,5.5,2.13,1.20571428571,7.3
1.6,2.13,1.0,3.26467559217,1.0,1.00900900901,8.2,1.5625,1.55836734694,9.1
1.6,2.13,1.76923076923,3.68795056643,1.9,1.0,6.4,1.5625,1.11755102041,10.0
2.8,2.6875,1.0,2.01416065911,1.9,1.00900900901,10.0,3.25,4.28408163265,10.0
1.6,2.13,1.51282051282,3.83702368692,1.9,1.0,8.2,1.5625,1.47755102041,9.1
2.8,2.6875,2.28205128205,1.70133882595,1.9,1.00900900901,1.0,2.13,1.0,1.0
1.6,2.13,1.64102564103,3.37512873326,1.9,1.00900900901,8.2,1.5625,3.02040816327,10.0
2.2,2.13,2.28205128205,1.18460350154,1.9,1.0,8.2,1.5625,1.73469387755,10.0
1.6,2.13,1.0,1.38388259526,1.9,1.0,10.0,1.5625,1.09551020408,8.2
2.8,2.13,2.28205128205,3.62615859938,3.7,1.00900900901,1.0,2.6875,1.0,1.0
1.6,2.13,1.76923076923,3.25,1.9,1.01801801802,9.1,1.5625,1.35265306122,9.1
1.6,2.13,1.64102564103,2.62512873326,1.9,1.01801801802,1.0,1.5625,1.0,1.0
2.8,2.13,2.15384615385,3.82080329557,2.8,1.00900900901,10.0,1.5625,1.58040816327,10.0
2.8,2.6875,2.15384615385,2.3833676622,1.9,1.01801801802,10.0,2.13,1.58775510204,9.1
1.6,2.13,1.25641025641,1.35993820803,1.0,1.00900900901,1.0,1.5625,1.0,1.0
2.8,2.13,1.89743589744,1.28810504634,1.9,1.00900900901,1.0,3.25,1.0,1.0
2.8,2.13,1.89743589744,2.04969104016,2.8,1.00900900901,1.0,2.13,1.0,1.0
2.8,2.6875,2.25641025641,5.99201853759,2.8,1.00900900901,6.4,2.13,1.38204081633,10.0
1.6,2.13,2.02564102564,3.02523171988,1.9,1.05405405405,1.0,1.5625,1.0,1.0
1.6,2.13,1.74358974359,2.42044284243,1.9,1.01801801802,1.0,1.5625,1.0,1.0
2.8,2.6875,2.28205128205,3.25308959835,2.8,1.01801801802,9.1,3.8125,2.07265306122,9.1
1.6,2.13,1.76923076923,3.02523171988,1.9,1.03603603604,10.0,1.5625,1.46285714286,10.0
2.8,2.13,2.25641025641,3.57054582904,2.8,1.00900900901,1.0,2.13,1.0,1.0
2.8,2.13,3.30769230769,2.45520082389,2.8,1.0,10.0,3.25,2.60163265306,10.0
2.2,2.13,1.76923076923,1.31745623069,1.0,1.00900900901,10.0,2.13,2.92489795918,10.0
2.2,2.13,2.15384615385,3.01905252317,2.8,1.01801801802,9.1,1.5625,1.19102040816,9.1
1.6,2.13,1.76923076923,2.83676622039,1.0,1.00900900901,9.1,1.5625,5.09224489796,9.1
4.6,3.25,3.5641025641,1.77548918641,4.6,1.03603603604,10.0,3.25,1.22775510204,9.1
2.8,2.13,2.02564102564,2.17559217302,1.0,1.00900900901,9.1,2.13,4.02693877551,10.0
1.6,2.13,2.28205128205,1.57080329557,1.9,1.24324324324,1.0,2.13,1.0,1.0
1.6,2.13,1.64102564103,3.50334706488,1.9,1.00900900901,8.2,1.5625,3.20408163265,9.1
1.0,2.13,1.0,3.58135942327,1.9,1.03603603604,1.0,1.5625,1.4187755102,1.0
2.8,2.13,1.0,3.04376930999,2.8,1.00900900901,10.0,2.13,1.7787755102,10.0
2.8,2.13,1.0,4.53836251287,4.6,1.01801801802,10.0,2.6875,1.12489795918,10.0
1.6,2.13,1.76923076923,2.61894953656,1.9,1.0,1.0,1.5625,1.0,1.0
2.2,2.6875,2.02564102564,3.72348094748,2.8,1.0,10.0,2.13,1.54367346939,10.0
1.6,2.13,1.0,2.67687950566,1.9,1.00900900901,10.0,1.5625,1.74204081633,10.0
2.8,2.13,1.64102564103,3.40988671473,1.9,1.0,9.1,2.13,1.72,10.0
1.6,2.13,1.0,5.11302780639,1.9,1.0,7.3,1.5625,2.40326530612,9.1
1.6,2.13,2.15384615385,1.79711637487,1.0,1.02702702703,9.1,1.5625,1.28653061224,10.0
1.6,2.13,1.64102564103,1.39160659114,1.9,1.01801801802,10.0,1.5625,1.33795918367,9.1
1.6,3.25,1.51282051282,2.19644696189,1.9,1.0,1.0,1.5625,1.0,1.0
1.6,2.13,2.02564102564,2.67610710608,1.9,1.00900900901,10.0,1.5625,1.34530612245,10.0
1.6,3.25,1.76923076923,3.52574665294,1.9,1.0,9.1,1.5625,1.23510204082,10.0
2.2,2.13,1.0,2.11611740474,2.8,1.0,10.0,2.13,1.11755102041,10.0
1.6,2.13,1.64102564103,2.71086508754,1.9,1.0,9.1,1.5625,1.58040816327,10.0
1.6,2.13,1.64102564103,1.8921215242,2.8,1.01801801802,10.0,1.5625,1.64653061224,10.0
2.8,2.13,1.0,7.40550978373,2.8,1.00900900901,9.1,2.6875,1.82285714286,10.0
1.6,2.13,2.28205128205,2.64598352214,1.9,1.00900900901,1.0,1.5625,1.0,1.0
2.8,3.25,1.0,1.14057672503,2.8,1.0,10.0,2.13,1.77142857143,8.2
1.6,2.13,1.76923076923,2.75489186406,2.8,1.01801801802,10.0,1.5625,2.01387755102,10.0
1.6,2.13,1.51282051282,4.94541709578,1.9,1.0,9.1,1.5625,2.28571428571,10.0
1.6,2.6875,1.51282051282,2.20571575695,1.9,1.00900900901,9.1,1.5625,1.75673469388,10.0
1.6,3.25,1.51282051282,2.08753861998,1.9,1.00900900901,9.1,1.5625,1.42612244898,9.1
1.6,2.6875,2.02564102564,3.93202883625,1.9,1.00900900901,9.1,1.5625,1.35265306122,10.0
1.6,2.13,1.64102564103,3.2306900103,1.9,1.01801801802,10.0,2.13,1.58775510204,10.0
1.6,2.13,1.64102564103,4.10272914521,1.9,1.00900900901,9.1,2.13,2.69714285714,10.0
1.6,2.13,1.0,1.48197734295,1.9,1.01801801802,10.0,1.5625,1.19102040816,10.0
2.8,3.25,2.92307692308,3.0692584964,3.7,1.00900900901,8.2,3.25,1.13959183673,8.2
1.6,2.13,1.0,3.45005149331,1.9,1.0,1.0,1.5625,1.0,1.0
1.6,2.13,1.0,3.32183316169,1.9,1.00900900901,9.1,1.5625,1.34530612245,9.1
2.8,2.13,2.15384615385,1.75386199794,1.9,1.01801801802,10.0,1.5625,1.19836734694,8.2
1.6,2.13,1.76923076923,3.05767250257,1.9,1.00900900901,10.0,1.5625,1.28653061224,10.0
1.6,2.13,1.51282051282,3.88954685891,1.9,1.00900900901,8.2,1.5625,1.73469387755,10.0
2.8,2.6875,2.79487179487,1.39315139032,2.8,1.00900900901,10.0,2.13,2.81469387755,9.1
3.4,2.13,2.53846153846,1.81179196704,3.7,1.01801801802,10.0,3.8125,1.58775510204,10.0
2.8,2.13,2.79487179487,1.75,2.8,1.00900900901,10.0,2.13,2.98367346939,10.0
2.8,2.13,1.64102564103,3.71421215242,2.8,1.0,9.1,2.13,1.91836734694,10.0
2.8,2.6875,2.28205128205,2.78578784758,2.8,1.04504504505,1.0,2.13,1.0,1.0
2.2,2.13,1.0,2.43357363543,2.8,1.00900900901,1.0,2.13,1.0,1.0
2.8,2.13,1.0,3.69335736354,1.9,1.00900900901,9.1,1.5625,2.41795918367,10.0
1.0,2.13,1.0,3.88568486097,1.9,1.05405405405,7.3,2.6875,1.78612244898,4.6
1.6,2.13,1.76923076923,2.01725025747,1.9,1.01801801802,10.0,1.5625,1.22775510204,10.0
1.0,2.13,1.0,4.4526261586,1.9,1.0,8.2,1.5625,1.35265306122,9.1
1.6,2.13,1.0,1.56848609681,1.9,1.0,10.0,1.5625,7.63428571429,10.0
3.4,3.25,2.92307692308,3.52729145211,3.7,1.01801801802,1.0,3.25,1.0,1.0
2.8,2.13,2.02564102564,2.0666838311,2.8,1.01801801802,1.0,2.6875,1.0,1.0
1.6,2.13,1.64102564103,2.38027806385,1.9,1.01801801802,9.1,1.5625,2.4106122449,10.0
1.6,3.25,1.0,3.38285272915,1.9,1.0,8.2,1.5625,1.07346938776,10.0
2.2,2.13,1.89743589744,1.98094747683,1.9,1.00900900901,8.2,1.5625,2.1387755102,9.1
1.6,2.13,2.28205128205,1.59397528321,1.9,1.00900900901,1.0,1.5625,1.0,1.0
2.8,2.13,1.0,4.28733264676,3.7,1.02702702703,7.3,3.25,1.50693877551,10.0
2.8,2.13,1.64102564103,1.94232749743,1.0,1.01801801802,10.0,3.25,2.74857142857,10.0
1.6,2.13,2.15384615385,2.57492276004,1.9,1.00900900901,9.1,2.13,1.7787755102,10.0
1.6,2.13,2.0,2.94104016478,1.9,1.00900900901,1.0,1.5625,1.0,1.0
2.8,3.25,3.05128205128,1.35066941298,2.8,1.05405405405,10.0,3.25,2.4106122449,7.3
2.8,2.13,2.07692307692,4.99871266735,2.8,1.00900900901,6.4,2.13,2.49142857143,7.3
1.6,2.13,1.64102564103,2.95494335736,1.9,1.00900900901,9.1,1.5625,1.24244897959,10.0
1.6,2.13,1.12820512821,2.81822863028,1.0,1.0,10.0,1.5625,1.73469387755,10.0
2.2,2.13,1.74358974359,2.87075180227,1.9,1.01801801802,10.0,1.5625,1.03673469388,10.0
1.6,2.13,1.0,2.38645726056,1.9,1.0,8.2,1.5625,1.27183673469,8.2
1.6,2.13,1.89743589744,2.54866117405,1.9,1.00900900901,9.1,1.5625,1.77142857143,9.1
2.2,2.13,1.0,2.42507723996,1.9,1.0,10.0,2.6875,2.08734693878,10.0
1.6,2.13,1.89743589744,2.8815653965,1.9,1.00900900901,10.0,2.13,2.08734693878,10.0
2.8,3.25,1.51282051282,1.28656024717,1.9,1.0,10.0,2.13,4.33551020408,10.0
1.6,2.13,1.51282051282,2.58187435633,1.9,1.00900900901,9.1,1.5625,1.64653061224,9.1
2.8,2.6875,1.0,2.40808444902,2.8,1.00900900901,10.0,2.13,1.0587755102,10.0
1.6,2.13,2.28205128205,1.5236869207,1.9,1.02702702703,10.0,1.5625,1.19102040816,10.0
2.8,2.13,2.02564102564,3.52342945417,2.8,1.0,8.2,2.13,1.17632653061,9.1
2.2,2.13,1.64102564103,3.31024716787,2.8,1.02702702703,1.0,2.13,1.47020408163,1.0
2.8,2.13,1.51282051282,6.06771369722,2.8,1.00900900901,10.0,2.13,1.73469387755,10.0
2.8,2.13,1.51282051282,2.7070030896,2.8,1.02702702703,8.2,2.13,1.17632653061,9.1
1.6,2.13,1.89743589744,2.70391349125,1.9,1.00900900901,8.2,1.5625,1.73469387755,10.0
2.8,2.13,1.0,5.9657569516,1.9,1.00900900901,9.1,3.25,4.24734693878,10.0
1.6,2.13,1.64102564103,2.93872296601,1.9,1.01801801802,9.1,1.5625,2.53551020408,10.0
1.6,1.0,1.76923076923,3.93357363543,1.9,1.0,10.0,1.5625,1.75673469388,10.0
2.2,2.13,1.0,2.26982492276,2.8,1.00900900901,9.1,2.13,2.07265306122,10.0
1.6,2.13,1.0,2.43125643666,1.9,1.0,10.0,1.5625,1.35265306122,10.0
1.6,2.6875,1.33333333333,7.19618949537,1.9,1.0,9.1,1.5625,2.96163265306,9.1
1.6,2.13,1.89743589744,2.06591143151,1.9,1.00900900901,10.0,1.5625,2.8,9.1
1.6,2.13,1.76923076923,2.39340885685,1.9,1.01801801802,9.1,1.5625,1.32326530612,10.0
1.6,2.13,2.0,3.93357363543,1.9,1.00900900901,1.0,1.5625,1.0,1.0
2.8,2.13,2.15384615385,1.6333676622,2.8,1.01801801802,10.0,3.25,1.63183673469,10.0
1.6,2.13,1.0,1.88208032956,1.9,1.01801801802,10.0,2.13,2.89551020408,10.0
2.8,2.13,2.28205128205,1.61946446962,2.8,1.00900900901,10.0,2.13,1.3012244898,10.0
2.8,2.13,2.53846153846,3.42996910402,4.6,1.00900900901,1.0,3.25,1.0,1.0
4.0,2.13,2.0,3.65859938208,2.8,1.00900900901,9.1,3.25,2.04326530612,9.1
1.6,2.13,2.0,1.79402677652,1.9,1.00900900901,1.0,1.5625,1.0,1.0
1.6,2.13,1.64102564103,3.00978372812,1.9,1.00900900901,1.0,1.5625,1.0,1.0
2.8,2.13,1.89743589744,3.0947476828,2.8,1.0,9.1,2.13,1.63183673469,10.0
1.6,2.13,1.64102564103,2.51004119464,1.9,1.01801801802,9.1,1.5625,2.00653061224,10.0
1.6,3.25,1.0,2.38722966014,1.9,1.03603603604,10.0,1.5625,1.46285714286,10.0
1.6,2.13,1.89743589744,3.01905252317,1.9,1.01801801802,10.0,1.5625,2.07265306122,10.0
1.6,2.13,1.89743589744,3.25386199794,1.9,1.00900900901,9.1,1.5625,1.78612244898,9.1
1.6,2.13,1.51282051282,2.37873326468,1.9,1.00900900901,10.0,2.13,2.1387755102,10.0
1.6,2.13,1.0,1.84809474768,1.9,1.01801801802,10.0,2.13,1.40408163265,9.1
1.6,2.13,2.02564102564,1.67198764161,1.9,1.0,10.0,2.13,2.00653061224,9.1
1.6,3.25,1.51282051282,2.51622039135,1.9,1.00900900901,8.2,1.5625,3.21142857143,9.1
1.6,2.13,2.0,2.99897013388,1.9,1.00900900901,1.0,1.5625,1.0,1.0
2.8,2.13,1.64102564103,3.46781668383,2.8,1.00900900901,9.1,2.13,1.22040816327,10.0
1.6,2.6875,1.89743589744,1.44026776519,1.9,1.00900900901,1.0,1.5625,1.0,1.0
2.8,2.6875,1.89743589744,3.35813594233,2.8,1.00900900901,9.1,2.13,1.44081632653,10.0
2.8,2.13,2.53846153846,2.03501544799,3.7,1.00900900901,1.0,3.25,1.0,1.0
2.8,2.13,1.0,2.02420185376,2.8,1.0,10.0,3.25,2.71183673469,9.1
2.8,2.13,1.0,1.37770339856,1.9,1.01801801802,9.1,2.13,1.13224489796,8.2
2.8,2.13,2.66666666667,1.83882595263,2.8,1.00900900901,10.0,2.13,1.60979591837,10.0
1.0,2.13,1.0,2.39263645726,1.9,1.21621621622,10.0,1.5625,1.64653061224,10.0
1.6,2.13,1.0,2.07595262616,1.9,1.01801801802,10.0,1.5625,1.22040816327,10.0
1.6,2.13,1.64102564103,2.76802265705,1.9,1.0,9.1,1.5625,2.53551020408,10.0
2.8,2.13,2.28205128205,1.8728115345,2.8,1.00900900901,10.0,3.25,1.57306122449,10.0
2.8,2.6875,1.89743589744,3.57363542739,2.8,1.00900900901,10.0,2.13,1.44081632653,10.0
1.6,2.13,1.0,4.72605561277,1.9,1.00900900901,6.4,1.5625,1.11755102041,10.0
2.8,2.13,2.66666666667,2.44902162719,2.8,1.00900900901,10.0,3.25,1.34530612245,10.0
2.2,2.13,1.0,1.9701338826,1.9,1.01801801802,10.0,2.13,1.35265306122,10.0
2.8,2.13,2.15384615385,3.0561277034,1.9,1.00900900901,1.0,2.13,1.0,1.0
1.6,2.13,1.38461538462,1.75308959835,2.8,1.00900900901,10.0,2.13,2.67510204082,10.0
2.8,2.13,1.76923076923,3.30484037075,2.8,1.00900900901,9.1,2.13,1.46285714286,10.0
1.6,2.13,2.0,2.41426364573,1.9,1.01801801802,9.1,1.5625,3.02775510204,9.1
1.6,2.13,1.51282051282,4.92919670443,1.9,1.0,1.0,1.5625,1.0,1.0
1.6,2.13,1.74358974359,3.87255406797,1.9,1.0,9.1,1.5625,1.22040816327,9.1
1.6,2.13,1.12820512821,2.37255406797,1.9,1.00900900901,10.0,1.5625,2.79265306122,9.1
2.8,2.13,1.51282051282,2.82672502575,1.9,1.0,10.0,2.13,1.59510204082,9.1
1.6,2.13,1.0,2.37950566426,1.9,1.02702702703,8.2,1.5625,1.08081632653,10.0
1.6,2.13,1.0,2.33316168898,1.9,1.05405405405,10.0,1.5625,1.06612244898,10.0
2.8,2.13,2.28205128205,2.95108135942,2.8,1.02702702703,8.2,2.6875,1.14693877551,10.0
1.6,2.13,2.28205128205,4.01004119464,1.9,1.02702702703,10.0,1.5625,1.11755102041,10.0
1.6,2.6875,1.38461538462,4.53836251287,1.9,1.02702702703,9.1,1.5625,4.05632653061,10.0
1.6,2.13,1.0,2.68460350154,1.9,1.0,8.2,1.5625,1.22775510204,10.0
1.6,2.6875,2.15384615385,2.8359938208,1.9,1.01801801802,10.0,1.5625,1.16897959184,10.0
1.6,2.13,1.76923076923,1.59938208033,1.9,1.0,9.1,1.5625,1.37469387755,8.2
2.8,2.13,3.5641025641,3.05998970134,3.7,1.05405405405,1.0,2.6875,1.0,1.0
1.6,2.13,1.0,3.5280638517,2.8,1.01801801802,9.1,2.13,1.4187755102,10.0
3.4,1.0,1.0,1.79788877446,2.8,1.01801801802,9.1,3.25,2.18285714286,9.1
2.8,2.13,3.05128205128,1.6982492276,2.8,1.00900900901,9.1,2.13,3.1306122449,7.3
2.2,2.13,1.89743589744,2.67378990731,2.8,1.00900900901,10.0,2.13,1.16897959184,10.0
2.8,2.13,1.64102564103,2.84835221421,1.0,1.01801801802,10.0,2.13,2.32979591837,10.0
2.8,2.13,1.0,3.52883625129,2.8,1.00900900901,10.0,2.13,2.0506122449,10.0
