"accommodates" "bathrooms" "cleaning_fee" "distance_to_dam" "bedrooms" "prices"
2.2 2.125 2.28205128205128 1.1846035015448 1.9 120
1.6 2.125 1 1.38388259526262 1.9 120
2.8 2.125 2.28205128205128 3.62615859938208 3.7 130
1.6 2.125 1.76923076923077 3.25 1.9 90
1.6 2.125 1.64102564102564 2.62512873326468 1.9 120
2.8 2.125 2.15384615384615 3.82080329557158 2.8 90
2.8 2.6875 2.15384615384615 2.38336766220391 1.9 195
1.6 2.125 1.25641025641026 1.35993820803296 1 136
2.8 2.125 1.8974358974359 1.28810504634398 1.9 200
2.8 2.125 1.8974358974359 2.04969104016478 2.8 270
2.8 2.6875 2.25641025641026 5.99201853759011 2.8 149
1.6 2.125 2.02564102564103 3.02523171987642 1.9 90
1.6 2.125 1.74358974358974 2.42044284243048 1.9 123
2.8 2.6875 2.28205128205128 3.25308959835221 2.8 115
1.6 2.125 1.76923076923077 3.02523171987642 1.9 89
2.8 2.125 2.25641025641026 3.57054582904222 2.8 149
2.8 2.125 3.30769230769231 2.45520082389289 2.8 149
2.2 2.125 1.76923076923077 1.31745623069001 1 160
2.2 2.125 2.15384615384615 3.01905252317199 2.8 130
1.6 2.125 1.76923076923077 2.83676622039135 1 99
4.6 3.25 3.56410256410256 1.77548918640577 4.6 286
2.8 2.125 2.02564102564103 2.17559217301751 1 120
1.6 2.125 2.28205128205128 1.57080329557158 1.9 110
1.6 2.125 1.64102564102564 3.50334706488157 1.9 40
1 2.125 1 3.58135942327497 1.9 35
2.8 2.125 1 3.0437693099897 2.8 160
2.8 2.125 1 4.53836251287333 4.6 125
1.6 2.125 1.76923076923077 2.61894953656025 1.9 100
2.2 2.6875 2.02564102564103 3.72348094747683 2.8 100
1.6 2.125 1 2.67687950566426 1.9 129
2.8 2.125 1.64102564102564 3.40988671472709 1.9 69
1.6 2.125 1 5.11302780638517 1.9 77
1.6 2.125 2.15384615384615 1.79711637487127 1 117
1.6 2.125 1.64102564102564 1.39160659114315 1.9 130
1.6 3.25 1.51282051282051 2.19644696189495 1.9 169
1.6 2.125 2.02564102564103 2.67610710607621 1.9 120
1.6 3.25 1.76923076923077 3.52574665293512 1.9 85
2.2 2.125 1 2.11611740473738 2.8 125
1.6 2.125 1.64102564102564 2.71086508753862 1.9 97
1.6 2.125 1.64102564102564 1.89212152420185 2.8 125
2.8 2.125 1 7.40550978372812 2.8 120
1.6 2.125 2.28205128205128 2.64598352214212 1.9 140
2.8 3.25 1 1.14057672502575 2.8 401
1.6 2.125 1.76923076923077 2.75489186405767 2.8 125
1.6 2.125 1.51282051282051 4.94541709577755 1.9 65
1.6 2.6875 1.51282051282051 2.2057157569516 1.9 89
1.6 3.25 1.51282051282051 2.0875386199794 1.9 150
1.6 2.6875 2.02564102564103 3.93202883625129 1.9 99
1.6 2.125 1.64102564102564 3.23069001029866 1.9 110
1.6 2.125 1.64102564102564 4.10272914521112 1.9 90
1.6 2.125 1 1.48197734294542 1.9 142
2.8 3.25 2.92307692307692 3.06925849639547 3.7 220
1.6 2.125 1 3.45005149330587 1.9 150
1.6 2.125 1 3.32183316168898 1.9 95
2.8 2.125 2.15384615384615 1.75386199794027 1.9 100
1.6 2.125 1.76923076923077 3.05767250257467 1.9 90
1.6 2.125 1.51282051282051 3.88954685890834 1.9 115
2.8 2.6875 2.79487179487179 1.39315139031926 2.8 150
3.4 2.125 2.53846153846154 1.81179196704428 3.7 299
2.8 2.125 2.79487179487179 1.75 2.8 261
2.8 2.125 1.64102564102564 3.71421215242019 2.8 140
2.8 2.6875 2.28205128205128 2.78578784757981 2.8 140
2.2 2.125 1 2.43357363542739 2.8 90
2.8 2.125 1 3.69335736354274 1.9 65
1 2.125 1 3.88568486096807 1.9 45
1.6 2.125 1.76923076923077 2.01725025746653 1.9 75
1 2.125 1 4.45262615859938 1.9 78
1.6 2.125 1 1.56848609680742 1.9 90
3.4 3.25 2.92307692307692 3.52729145211123 3.7 180
2.8 2.125 2.02564102564103 2.06668383110196 2.8 200
1.6 2.125 1.64102564102564 2.3802780638517 1.9 120
1.6 3.25 1 3.38285272914521 1.9 70
2.2 2.125 1.8974358974359 1.98094747682801 1.9 120
1.6 2.125 2.28205128205128 1.59397528321318 1.9 150
2.8 2.125 1 4.28733264675592 3.7 120
2.8 2.125 1.64102564102564 1.94232749742533 1 125
1.6 2.125 2.15384615384615 2.57492276004119 1.9 130
1.6 2.125 2 2.94104016477858 1.9 79
2.8 3.25 3.05128205128205 1.35066941297631 2.8 125
2.8 2.125 2.07692307692308 4.99871266735324 2.8 171
1.6 2.125 1.64102564102564 2.95494335736354 1.9 110
1.6 2.125 1.12820512820513 2.81822863027806 1 70
2.2 2.125 1.74358974358974 2.87075180226571 1.9 171
1.6 2.125 1 2.38645726055613 1.9 50
1.6 2.125 1.8974358974359 2.54866117404737 1.9 120
2.2 2.125 1 2.42507723995881 1.9 80
1.6 2.125 1.8974358974359 2.88156539649846 1.9 105
2.8 3.25 1.51282051282051 1.28656024716787 1.9 106
1.6 2.125 1.51282051282051 2.58187435633368 1.9 120
2.8 2.6875 1 2.40808444902163 2.8 150
1.6 2.125 2.28205128205128 1.52368692070031 1.9 100
2.8 2.125 2.02564102564103 3.52342945417096 2.8 111
2.2 2.125 1.64102564102564 3.31024716786818 2.8 125
2.8 2.125 1.51282051282051 6.06771369721936 2.8 175
2.8 2.125 1.51282051282051 2.70700308959835 2.8 111
1.6 2.125 1.8974358974359 2.70391349124614 1.9 95
2.8 2.125 1 5.96575695159629 1.9 76
1.6 2.125 1.64102564102564 2.93872296601442 1.9 95
1.6 1 1.76923076923077 3.93357363542739 1.9 95
2.2 2.125 1 2.26982492276004 2.8 169
1.6 2.125 1 2.43125643666323 1.9 70
1.6 2.6875 1.33333333333333 7.1961894953656 1.9 50
1.6 2.125 1.8974358974359 2.0659114315139 1.9 139
1.6 2.125 1.76923076923077 2.39340885684861 1.9 70
1.6 2.125 2 3.93357363542739 1.9 79
2.8 2.125 2.15384615384615 1.63336766220391 2.8 245
1.6 2.125 1 1.88208032955716 1.9 150
2.8 2.125 2.28205128205128 1.61946446961895 2.8 168
2.8 2.125 2.53846153846154 3.42996910401648 4.6 130
4 2.125 2 3.65859938208033 2.8 120
1.6 2.125 2 1.79402677651905 1.9 79
1.6 2.125 1.64102564102564 3.00978372811535 1.9 125
2.8 2.125 1.8974358974359 3.09474768280124 2.8 100
1.6 2.125 1.64102564102564 2.5100411946447 1.9 85
1.6 3.25 1 2.38722966014418 1.9 150
1.6 2.125 1.8974358974359 3.01905252317199 1.9 90
1.6 2.125 1.8974358974359 3.25386199794027 1.9 134
1.6 2.125 1.51282051282051 2.37873326467559 1.9 111
1.6 2.125 1 1.8480947476828 1.9 120
1.6 2.125 2.02564102564103 1.67198764160659 1.9 251
1.6 3.25 1.51282051282051 2.51622039134912 1.9 77
1.6 2.125 2 2.9989701338826 1.9 79
2.8 2.125 1.64102564102564 3.4678166838311 2.8 100
1.6 2.6875 1.8974358974359 1.44026776519053 1.9 136
2.8 2.6875 1.8974358974359 3.3581359423275 2.8 99
2.8 2.125 2.53846153846154 2.03501544799176 3.7 251
2.8 2.125 1 2.02420185375901 2.8 150
2.8 2.125 1 1.37770339855819 1.9 139
2.8 2.125 2.66666666666667 1.83882595262616 2.8 251
1 2.125 1 2.39263645726056 1.9 50
1.6 2.125 1 2.0759526261586 1.9 125
1.6 2.125 1.64102564102564 2.76802265705458 1.9 100
2.8 2.125 2.28205128205128 1.87281153450051 2.8 260
2.8 2.6875 1.8974358974359 3.57363542739444 2.8 120
1.6 2.125 1 4.72605561277034 1.9 85
2.8 2.125 2.66666666666667 2.44902162718847 2.8 181
2.2 2.125 1 1.97013388259526 1.9 100
2.8 2.125 2.15384615384615 3.05612770339856 1.9 99
1.6 2.125 1.38461538461538 1.75308959835221 2.8 115
2.8 2.125 1.76923076923077 3.3048403707518 2.8 260
1.6 2.125 2 2.41426364572606 1.9 90
1.6 2.125 1.51282051282051 4.92919670442843 1.9 140
1.6 2.125 1.74358974358974 3.87255406797116 1.9 99
1.6 2.125 1.12820512820513 2.37255406797116 1.9 85
2.8 2.125 1.51282051282051 2.82672502574665 1.9 115
1.6 2.125 1 2.37950566426365 1.9 85
1.6 2.125 1 2.33316168898043 1.9 34
2.8 2.125 2.28205128205128 2.95108135942328 2.8 139
1.6 2.125 2.28205128205128 4.0100411946447 1.9 95
1.6 2.6875 1.38461538461538 4.53836251287333 1.9 60
1.6 2.125 1 2.6846035015448 1.9 199
1.6 2.6875 2.15384615384615 2.8359938208033 1.9 90
1.6 2.125 1.76923076923077 1.59938208032956 1.9 139
2.8 2.125 3.56410256410256 3.05998970133883 3.7 251
1.6 2.125 1 3.52806385169928 2.8 120
3.4 1 1 1.79788877445932 2.8 210
2.8 2.125 3.05128205128205 1.69824922760041 2.8 226
2.2 2.125 1.8974358974359 2.67378990731205 2.8 130
2.8 2.125 1.64102564102564 2.84835221421215 1 111
2.8 2.125 1 3.52883625128733 2.8 185
3.4 2.125 2.02564102564103 2.72554067971164 3.7 181
2.8 2.125 2.02564102564103 2.16709577754892 2.8 125
1.6 4.375 1.48717948717949 3.37590113285273 1.9 75
1.6 2.125 1.76923076923077 2.90087538619979 1.9 136
1.6 2.125 1.51282051282051 2.19490216271885 1.9 100
4 2.125 2.28205128205128 6.75746652935119 4.6 300
1.6 2.125 1 4.00386199794027 1.9 89
2.8 2.125 2.15384615384615 2.62590113285273 2.8 185
1.6 2.125 1 3.89572605561277 1.9 75
2.2 2.125 1 3.40679711637487 2.8 100
1.6 2.125 1.64102564102564 2.89006179196704 1.9 105
1.6 2.125 1.38461538461538 2.44207003089598 1.9 65
2.8 2.125 1.76923076923077 2.37950566426365 1.9 125
2.8 2.125 1 4.12126673532441 2.8 150
2.8 2.125 1.8974358974359 2.84217301750772 2.8 200
1.6 2.125 2.02564102564103 2.12152420185376 1 136
1.6 2.125 1 1.82801235839341 1 72
10 2.125 3.56410256410256 3.12178166838311 5.5 384
1.6 2.125 1.76923076923077 3.66632337796087 1.9 97
1.6 2.125 1 2.6513903192585 1.9 70
1.6 2.6875 1.8974358974359 3.55509783728115 1.9 130
1.6 2.125 1 4.06874356333677 1.9 60
1.6 2.125 1.12820512820513 3.63774459320288 1.9 35
3.4 2.125 1 4.40396498455201 2.8 50
2.8 2.125 2.28205128205128 3.76210092687951 2.8 111
2.8 2.125 1.76923076923077 2.17790937178167 2.8 299
1.6 2.125 1.64102564102564 2.19876416065911 1.9 125
1.6 2.125 1.12820512820513 3.79994850669413 1.9 100
2.8 2.125 1.8974358974359 1.36766220391349 2.8 181
2.2 1.5625 1.23076923076923 3.14727085478888 1.9 50
1.6 2.125 1.51282051282051 2.46524201853759 1.9 125
1.6 2.125 1 3.29248197734295 1.9 175
1.6 2.125 1.8974358974359 1.83728115345005 1.9 160
3.4 3.25 2.92307692307692 2.51235839340886 5.5 391
2.8 2.125 1 3.17816683831102 2.8 100
1.6 2.125 1 5.07286302780639 1.9 68
2.8 2.6875 2.28205128205128 2.43820803295572 2.8 160
1.6 2.125 1.64102564102564 1.95777548918641 1.9 81
2.8 2.125 1.64102564102564 3.57209062821833 2.8 140
2.8 3.8125 3.56410256410256 3.74201853759011 4.6 251
1.6 2.125 1 2.61354273944387 1.9 85
2.2 2.125 1.64102564102564 2.38491246138002 1.9 130
1.6 2.125 2 2.17868177136972 2.8 89
2.8 2.6875 2.92307692307692 1.56307929969104 2.8 203
2.8 2.6875 2.02564102564103 2.52239958805355 3.7 160
2.8 2.125 1 4.50901132852729 2.8 79
1.6 2.125 1.8974358974359 2.35787847579815 1.9 140
1.6 2.125 1.8974358974359 4.18228630278064 1.9 111
2.8 2.125 1 1.67739443872297 1.9 210
3.4 2.125 2.28205128205128 1.20468589083419 2.8 251
2.8 2.125 1.64102564102564 2.31925849639547 1 100
1.6 2.125 1.51282051282051 2.64830072090628 1.9 115
2.8 2.125 1.64102564102564 3.42533470648816 2.8 100
1.6 2.125 1.25641025641026 2.79582904222451 1.9 85
2.8 3.8125 2.28205128205128 2.82131822863028 2.8 139
2.8 2.125 1.8974358974359 2.90473738414006 2.8 129
1.6 2.125 2.02564102564103 2.77497425334706 1.9 90
1.6 3.25 1 2.57723995880536 1.9 80
2.8 2.6875 1.76923076923077 6.9235324407827 2.8 75
2.2 2.125 2.28205128205128 2.40422245108136 2.8 125
1.6 2.125 1 2.57415036045314 1.9 90
1.6 2.125 1 3.04917610710608 1.9 90
2.8 3.25 2.92307692307692 2.3153964984552 2.8 350
1.6 2.125 1.8974358974359 3.08547888774459 1.9 80
1.6 2.125 1.30769230769231 4.28424304840371 1.9 75
1.6 2.125 1 3.18125643666323 1.9 85
4.6 4.375 2.92307692307692 1.77317198764161 4.6 351
1.6 2.125 1 4.25411946446962 1.9 130
2.8 2.6875 2.28205128205128 3.64469618949537 2.8 149
2.8 2.125 1.8974358974359 2.11997940267765 3.7 150
2.2 2.125 1 3.6408341915551 2.8 226
1.6 2.125 1 2.89624098867147 1.9 95
1.6 2.125 1.76923076923077 2.40422245108136 1.9 119
2.8 2.125 1 2.50231719876416 2.8 191
1.6 2.125 1.25641025641026 1.23171987641607 1.9 79
1.6 2.125 1.64102564102564 2.05973223480947 1.9 136
2.8 2.6875 2.28205128205128 3.62615859938208 3.7 210
1.6 2.125 1.76923076923077 3.50952626158599 1.9 75
2.8 2.125 1.64102564102564 4.16143151390319 1.9 95
1.6 2.125 1.76923076923077 1.32209062821833 1.9 175
4.6 2.125 2.25641025641026 3.83393408856849 3.7 91
2.2 3.25 1 4.19541709577755 1.9 49
2.2 2.125 2.53846153846154 4.05792996910402 3.7 73
1.6 2.125 1.51282051282051 2.01570545829042 1.9 79
1.6 2.125 1.64102564102564 6.33419155509784 1.9 60
2.8 2.125 1.8974358974359 2.56565396498455 2.8 200
2.8 2.125 2.15384615384615 2.14006179196704 2.8 185
2.8 2.125 2.02564102564103 1.94155509783728 2.8 160
2.8 2.125 1.76923076923077 2.01879505664264 2.8 150
2.8 2.125 1.76923076923077 2.66374871266735 1.9 150
2.8 2.125 2 2.66452111225541 2.8 182
2.2 2.125 1.74358974358974 2.28450051493306 1.9 139
1.6 2.125 2.28205128205128 1.60478887744593 1 80
1.6 2.6875 1.64102564102564 2.69696189495366 1.9 120
2.8 2.125 1.64102564102564 2.59191555097837 1.9 129
1.6 2.125 1 2.25360453141092 1.9 150
1.6 2.125 1.76923076923077 2.31462409886715 1.9 99
2.8 2.6875 2.41025641025641 1.62487126673532 2.8 251
1.6 2.125 1.64102564102564 3.36277033985582 1.9 75
1.6 2.125 1.51282051282051 2.43589083419156 1.9 120
1.6 2.125 1.8974358974359 2.66683831101957 1.9 99
1.6 2.125 1.76923076923077 2.1091658084449 1.9 150
2.8 2.125 1.51282051282051 5.25592173017508 2.8 111
1.6 2.125 1.76923076923077 1.48274974253347 1.9 90
3.4 2.125 2.15384615384615 2.77806385169928 2.8 200
2.8 2.125 1 3.51416065911432 2.8 200
1.6 2.125 1.64102564102564 1.89830072090628 1.9 100
2.2 2.125 1.64102564102564 3.86096807415036 1.9 125
2.8 2.125 2.25641025641026 3.336508753862 3.7 159
2.8 2.125 1.76923076923077 2.65525231719876 2.8 150
1.6 2.125 1.8974358974359 1.50283213182286 1.9 160
2.8 2.125 2.28205128205128 1.87512873326468 2.8 199
3.4 2.125 1 1.41709577754892 1.9 235
2.8 2.125 2.02564102564103 4.12667353244078 3.7 120
2.8 2.125 1.51282051282051 2.79737384140062 2.8 100
2.2 2.125 1.76923076923077 1.12435633367662 1.9 120
1.6 2.125 1 3.54196704428424 1.9 80
2.8 2.6875 2.66666666666667 5.80973223480948 3.7 315
4 2.125 2.28205128205128 2.78810504634398 4.6 150
2.8 2.6875 2.25641025641026 3.74588053553038 2.8 149
2.2 2.125 2.28205128205128 1.67276004119464 1.9 100
5.2 2.6875 1.76923076923077 3.02368692070031 3.7 130
1.6 2.125 1.76923076923077 2.89315139031926 1.9 100
2.8 2.125 1 2.4683316168898 2.8 99
1.6 2.125 1.64102564102564 2.92173017507724 1.9 85
2.8 2.125 1.8974358974359 3.44001029866117 2.8 125
1.6 2.125 1.51282051282051 2.26441812564367 1.9 85
1.6 2.125 1.64102564102564 2.3370236869207 1.9 120
1.6 2.6875 2.02564102564103 2.15319258496395 1.9 125
2.8 2.125 1.76923076923077 2.50695159629248 2.8 120
1.6 2.125 1.76923076923077 1.90061791967044 1.9 150
1.6 2.125 2.28205128205128 2.63825952626159 1.9 69
4 2.125 1 1.30278063851699 3.7 381
2.8 2.125 1.8974358974359 2.6313079299691 2.8 175
1.6 2.125 1 4.89907312049434 1.9 80
2.2 2.125 2.28205128205128 3.30870236869207 1.9 70
1.6 2.125 1 3.33805355303811 1.9 60
3.4 2.6875 2.02564102564103 3.22296601441813 1.9 150
1.6 2.125 1.64102564102564 1.90216271884655 1.9 97
1.6 2.125 1.8974358974359 1.99098867147271 1.9 150
1.6 2.125 1.64102564102564 2.53244078269825 1.9 111
1.6 2.125 1.51282051282051 3.32183316168898 1.9 60
4 2.6875 2.02564102564103 4.22476828012358 3.7 159
5.2 2.125 1 3.92584963954686 3.7 251
1.6 2.125 1.51282051282051 2.82131822863028 1.9 99
2.8 2.6875 1.76923076923077 3.49330587023687 1.9 99
2.8 2.125 1.51282051282051 3.61457260556128 2.8 105
1.6 2.125 1 1.62873326467559 1.9 111
1.6 2.125 2.28205128205128 2.63980432543769 1.9 95
4 2.125 2.02564102564103 6.74356333676622 4.6 181
1.6 2.125 1.64102564102564 3.43923789907312 1.9 80
1.6 2.125 1 3.46009268795057 1.9 120
1.6 2.125 1 3.27626158599382 1.9 150
4 2.6875 2.53846153846154 2.12615859938208 3.7 276
2.2 4.9375 1 3.33110195674562 1.9 65
2.2 2.125 1.76923076923077 1.94078269824923 2.8 140
1.6 2.125 1.8974358974359 1.46961894953656 1 110
1.6 2.125 1 4.28424304840371 1.9 60
1.6 2.125 1.76923076923077 2.88388259526262 1.9 125
1.6 2.125 2.28205128205128 1.66658084449022 1.9 195
1.6 2.125 1.51282051282051 3.04299691040165 1.9 125
2.8 2.125 2.02564102564103 3.25540679711638 2.8 195
1.6 2.125 1 2.60041194644696 1.9 68
2.8 3.25 2.53846153846154 1.42327497425335 2.8 321
2.8 3.25 2.53846153846154 1.86431513903193 3.7 226
1.6 2.125 1 2.68923789907312 1 155
1.6 2.125 1.38461538461538 3.13877445932029 1 95
2.8 2.125 1.64102564102564 3.46549948506694 2.8 99
1.6 2.125 2.41025641025641 2.5100411946447 1.9 79
1.6 2.125 1.8974358974359 1.70365602471679 1.9 120
1.6 2.125 1.64102564102564 2.90087538619979 1.9 55
2.8 2.125 1.8974358974359 3.07312049433574 2.8 130
1.6 1 1 1.38233779608651 1.9 328
1.6 2.125 1.76923076923077 2.70005149330587 2.8 120
1.6 2.125 2.28205128205128 1.15447991761071 1.9 200
2.2 2.125 1.76923076923077 2.44747682801236 2.8 97
1.6 2.125 1 3.15576725025747 1.9 85
1.6 2.125 1 4.04711637487127 1.9 79
2.8 2.6875 2.28205128205128 3.81230690010299 2.8 136
2.2 2.125 1.8974358974359 3.06462409886715 1.9 130
1.6 2.125 1.8974358974359 1.73609680741504 2.8 160
3.4 2.125 1.56410256410256 2.60272914521112 2.8 150
3.4 2.6875 2.28205128205128 3.04067971163749 3.7 251
1.6 2.125 1.51282051282051 2.89933058702369 1.9 75
1.6 2.125 1 3.27935118434604 1.9 89
2.2 2.125 2.02564102564103 1.76853759011329 1.9 150
2.8 2.125 1 3.23918640576725 2.8 200
1.6 2.125 1.38461538461538 3.51493305870237 1 55
1.6 2.125 1.8974358974359 3.26622039134912 1.9 100
1.6 2.125 1.8974358974359 1.38002059732235 1.9 136
1.6 2.125 2.28205128205128 2.06977342945417 1.9 180
4 2.125 2.28205128205128 1.52368692070031 1.9 270
2.8 2.125 2.28205128205128 6.41992790937178 4.6 200
1.6 2.125 1.38461538461538 3.22142121524202 1.9 70
2.8 2.6875 2.02564102564103 2.76261585993821 2.8 120
1.6 2.125 1.8974358974359 3.12487126673532 1.9 98
2.8 2.6875 2.28205128205128 2.99665293511843 1.9 136
2.8 2.125 2.15384615384615 2.98352214212152 2.8 130
1 2.125 2.28205128205128 3.95211122554068 1.9 75
2.2 2.125 1.38461538461538 3.5427394438723 1.9 60
2.8 3.25 2.28205128205128 2.46060762100927 3.7 200
2.8 2.125 1.8974358974359 2.52548918640577 1.9 159
2.8 2.125 2.28205128205128 3.92276004119465 2.8 100
2.2 2.125 2.28205128205128 2.65834191555098 2.8 100
1.6 2.125 1.51282051282051 2.79196704428424 1.9 85
1.6 2.125 1.51282051282051 1.72528321318229 1.9 100
2.8 2.125 1 2.29299691040165 2.8 100
1.6 2.125 1.25641025641026 3.21060762100927 1.9 99
1.6 2.125 1.76923076923077 2.40885684860968 1.9 111
1.6 2.125 1.51282051282051 2.18640576725026 1.9 65
2.2 2.125 1.38461538461538 3.57363542739444 1 65
1.6 2.125 1.64102564102564 2.62667353244078 1.9 120
1.6 2.125 2.15384615384615 3.11019567456231 1.9 110
1.6 2.125 1 6.25772399588054 1 40
4 2.125 1 1.58470648815654 3.7 321
1.6 2.125 1.64102564102564 2.73403707518023 1.9 75
2.2 2.125 2.02564102564103 3.2283728115345 1.9 85
2.8 2.125 1.8974358974359 1.34526261585994 2.8 104
