host_response_time,host_response_rate,host_acceptance_rate,host_total_listings_count,host_identity_verified,accommodates,bathrooms,bedrooms,beds,amenities,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month,distance_to_dam,has_metro
1,100,0,1.0,0,2,1.0,0.0,1.0,11,30.0,1,0.0,2,30,1,1,3,144,5,87.0,10.0,10.0,10.0,10.0,9.0,10.0,0,2,1,0.68,3.04780070226,0
1,100,90,1.0,1,2,1.0,1.0,1.0,14,25.0,2,0.0,3,14,24,53,53,236,12,83.0,10.0,9.0,9.0,9.0,9.0,8.0,0,0,1,0.51,6.62739924526,0
4,0,0,1.0,0,6,1.0,3.0,5.0,14,0,1,0.0,7,21,19,22,22,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.0,4.21615666566,0
4,46,89,1.0,1,2,1.0,1.0,1.0,10,15.0,2,50.0,2,30,30,60,90,358,12,93.0,10.0,9.0,10.0,10.0,10.0,9.0,0,2,1,1.41,1.40528450746,0
2,100,100,1.0,0,4,1.0,1.0,2.0,13,35.0,2,35.0,3,30,3,10,36,278,6,90.0,10.0,9.0,9.0,10.0,9.0,9.0,0,2,1,0.64,2.2021917349,0
1,100,100,1.0,1,2,1.5,1.0,1.0,10,40.0,1,0.0,1,30,27,57,87,362,7,94.0,9.0,10.0,10.0,10.0,9.0,9.0,1,2,1,2.21,2.64138786271,0
1,100,100,1.0,0,3,1.0,2.0,2.0,15,35.0,1,16.0,2,30,0,0,21,21,2,90.0,9.0,9.0,8.0,9.0,8.0,8.0,0,1,1,0.83,1.9066249147,0
2,100,100,2.0,1,2,1.0,1.0,1.0,17,30.0,2,30.0,2,30,0,2,3,263,206,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,2,2,5.8,2.29644105064,0
1,99,100,166.0,1,4,2.0,4.0,4.0,15,60.0,1,0.0,2,30,16,35,35,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,156,0.0,2.8784127624,0
1,100,100,1.0,0,3,1.0,2.0,2.0,15,0,1,0.0,2,30,0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,1,0.45,1.52000858091,0
4,0,0,1.0,0,2,1.0,1.0,1.0,10,50.0,1,0.0,4,14,0,0,0,0,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1,1,0.16,1.5585703816,0
4,0,0,1.0,1,2,1.0,1.0,1.0,11,15.0,2,0.0,3,30,0,0,0,0,5,92.0,10.0,9.0,10.0,10.0,10.0,8.0,0,2,1,0.46,2.35321799742,0
1,100,98,1.0,1,6,1.0,2.0,3.0,23,60.0,4,50.0,1,30,3,21,30,118,13,95.0,10.0,9.0,10.0,10.0,9.0,9.0,1,2,1,5.13,2.9998152245,0
1,100,50,1.0,0,2,1.0,1.0,1.0,14,0,0,0.0,1,30,28,58,88,363,28,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,1,1.06,2.51434429467,0
3,60,60,1.0,1,4,1.0,2.0,2.0,11,50.0,4,0.0,2,30,0,0,0,74,12,98.0,10.0,10.0,10.0,10.0,9.0,10.0,0,1,1,0.89,2.1976522242,0
4,0,0,1.0,1,4,1.5,3.0,4.0,15,35.0,2,30.0,2,30,18,22,22,22,5,100.0,10.0,9.0,10.0,10.0,9.0,10.0,0,1,1,0.43,2.9995735966,0
1,100,100,133.0,1,4,1.0,1.0,2.0,18,30.0,2,35.0,3,30,24,54,58,58,20,89.0,8.0,9.0,9.0,9.0,10.0,8.0,1,2,128,1.76,1.96011247135,0
4,0,0,1.0,1,2,1.0,1.0,1.0,14,25.0,2,0.0,3,30,0,0,0,0,14,94.0,10.0,10.0,10.0,10.0,9.0,9.0,0,1,1,0.44,2.64062235717,0
1,100,100,1.0,1,3,1.0,1.0,1.0,18,35.0,2,20.0,3,30,2,27,57,324,25,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0,1,1,3.54,1.32473930502,0
3,100,0,1.0,0,2,1.0,1.0,1.0,14,40.0,1,0.0,3,15,2,32,56,56,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,4.93938947274,0
2,100,50,1.0,0,1,1.0,1.0,1.0,11,0,1,0.0,1,30,0,0,0,170,15,93.0,10.0,8.0,10.0,9.0,8.0,9.0,0,1,1,0.48,4.48759816316,1
3,50,100,1.0,0,2,1.0,1.0,1.0,22,0,1,0.0,1,30,18,41,71,158,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1,0.0,4.9492231065,0
1,100,86,1.0,1,4,1.0,1.0,2.0,13,50.0,2,20.0,7,30,16,30,30,73,2,90.0,9.0,9.0,9.0,10.0,10.0,9.0,0,2,1,1.03,2.60941370359,0
3,100,75,1.0,0,4,1.0,3.0,3.0,16,0,1,0.0,5,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0.0,4.51494041837,0
