,bathrooms,bedrooms,beds,accommodates,guests_included,distance_to_dam,distance_to_metro,review_scores_accuracy,review_scores_location,review_scores_value
4434,1.0,1.0,1.0,1,1,1.2370097474,0.37351873375,9.0,10.0,9.0
4350,1.0,1.0,2.0,2,1,1.02107893492,0.499391687683,10.0,10.0,10.0
2623,1.0,1.0,2.0,2,1,0.616413660985,1.09678822105,0.0,0.0,0.0
8318,1.0,2.0,2.0,3,2,3.62722892725,0.61563541083,10.0,8.0,8.0
3081,1.0,2.0,2.0,4,1,4.05090093293,2.96882047982,0.0,0.0,0.0
9347,1.0,2.0,2.0,3,2,3.9214407878,0.845001540281,10.0,9.0,9.0
334,1.0,1.0,1.0,1,1,4.59687364671,3.77241513145,0.0,0.0,0.0
4505,1.0,0.0,1.0,2,1,0.968897129521,0.941776512919,0.0,0.0,0.0
10100,1.0,3.0,3.0,4,1,5.44803743593,0.519019377935,10.0,9.0,10.0
7227,1.0,1.0,2.0,3,2,1.58888048025,1.49545255762,10.0,10.0,10.0
9647,1.0,2.0,2.0,3,2,3.70956646916,1.06680753523,10.0,9.0,9.0
5160,1.0,1.0,2.0,2,1,2.38915238361,0.45645785003,10.0,9.0,9.0
4614,1.0,0.0,3.0,2,1,2.20517911596,1.32532477142,0.0,0.0,0.0
8816,1.0,1.0,1.0,2,1,3.08098948839,0.928413228438,9.0,10.0,10.0
6705,1.0,1.0,1.0,2,1,1.39780710478,1.44036482234,10.0,10.0,9.0
11454,1.0,1.0,2.0,4,2,1.9525862811,2.20976186587,8.0,7.0,6.0
7518,1.0,1.0,2.0,2,1,2.22104641472,0.727703398742,10.0,10.0,9.0
13075,1.0,1.0,1.0,2,1,2.29047522013,1.52023145095,10.0,8.0,9.0
1665,2.5,1.0,1.0,2,1,0.177882343417,0.492966166439,9.0,10.0,9.0
2768,1.0,0.0,1.0,2,1,1.58693419725,1.23365932773,10.0,10.0,10.0
13180,1.0,1.0,1.0,2,1,2.83486186382,1.11209934635,0.0,0.0,0.0
3236,1.0,1.0,1.0,2,0,3.53108520935,2.42702542497,9.0,8.0,8.0
10089,1.5,2.0,3.0,4,1,5.0614394845,0.866422744645,0.0,0.0,0.0
9063,1.0,1.0,1.0,2,1,2.94766284251,1.51018874357,10.0,10.0,10.0
12053,1.0,2.0,2.0,4,2,1.8151402164,2.13883639486,4.0,6.0,4.0
6942,1.0,1.0,1.0,2,1,1.77579934532,1.31468988054,0.0,0.0,0.0
10105,1.0,2.0,4.0,4,2,2.62028568948,1.48076865661,9.0,9.0,9.0
10356,1.0,1.0,1.0,2,1,2.67583407921,1.25353135576,0.0,0.0,0.0
9836,1.0,1.0,1.0,2,1,3.43282880572,1.10331267602,9.0,10.0,9.0
3755,0.0,1.0,1.0,2,1,0.800859194959,0.147936131102,0.0,0.0,0.0
12506,1.0,1.0,1.0,2,1,2.28887302696,1.90193579472,10.0,10.0,9.0
8690,1.0,1.0,1.0,2,1,3.40939910671,0.619550963027,10.0,9.0,9.0
8882,1.0,1.0,1.0,2,1,1.91503815563,1.20012634577,10.0,10.0,10.0
1446,2.0,1.0,1.0,2,1,0.5577922806,1.07187966235,10.0,10.0,9.0
7022,1.0,1.0,2.0,2,1,1.67428321194,1.86434440136,10.0,10.0,10.0
3067,1.0,1.0,1.0,2,1,2.76875077876,2.26853770301,10.0,9.0,9.0
3418,1.5,1.0,2.0,3,1,3.01580265215,1.68612946871,9.0,9.0,8.0
12495,1.0,1.0,3.0,4,2,2.19631490855,2.05336453681,9.0,9.0,9.0
9619,1.0,1.0,1.0,2,1,4.03519626426,0.587194958855,10.0,10.0,9.0
11521,1.0,1.0,1.0,2,0,2.96463954397,0.971468197687,10.0,9.0,9.0
10667,1.0,1.0,1.0,2,1,1.64117535627,2.12066552842,10.0,10.0,9.0
13600,1.0,1.0,1.0,2,0,4.44864248113,0.332862931248,9.0,9.0,10.0
3949,1.0,1.0,1.0,2,2,1.00927433415,0.541870075569,10.0,10.0,9.0
12029,1.0,1.0,1.0,2,1,1.96005842598,1.87867099421,9.0,8.0,9.0
10525,1.0,1.0,1.0,2,1,2.48865920492,1.95537658275,10.0,10.0,9.0
12433,1.0,1.0,1.0,3,1,1.81317892031,2.09808250449,10.0,9.0,9.0
7894,1.0,1.0,1.0,3,1,2.19440933274,0.846352999895,10.0,10.0,9.0
5739,1.0,1.0,1.0,2,1,2.94986799237,0.407080207865,10.0,10.0,9.0
11423,1.5,1.0,4.0,4,2,2.74998172761,1.18462947989,0.0,0.0,0.0
7840,1.0,1.0,2.0,4,2,2.41256490766,1.55316100434,10.0,9.0,9.0
9688,1.0,1.0,3.0,3,1,3.70905937024,1.28639189254,10.0,10.0,9.0
10193,1.0,1.0,1.0,2,1,2.39826332005,1.54413539988,9.0,9.0,9.0
1780,1.0,1.0,2.0,4,2,1.15819482321,1.67501539453,9.0,10.0,8.0
11198,1.5,1.0,1.0,2,1,2.37710701906,1.81034037048,10.0,10.0,10.0
13182,1.0,2.0,2.0,4,2,2.89441356863,0.908667418783,10.0,10.0,9.0
300,1.0,1.0,1.0,2,1,3.75880862019,2.9399140845,10.0,9.0,9.0
11004,1.0,1.0,1.0,2,1,1.42954546863,1.8935906766,10.0,9.0,9.0
4106,1.5,1.0,1.0,2,1,1.03919389364,0.861209640878,10.0,10.0,9.0
7113,1.0,1.0,1.0,2,0,1.89990227198,1.94808221035,9.0,9.0,9.0
6034,1.0,2.0,1.0,2,1,3.01755470109,0.396519832416,10.0,9.0,10.0
2143,1.0,0.0,2.0,3,1,1.11480969826,1.6352214324,10.0,9.0,9.0
