"","x"
"640",120
"641",89
"642",49
"643",90
"644",50
"645",200
"646",95
"647",100
"648",111
"649",120
"650",80
"651",226
"652",300
"653",241
"654",501
"655",111
"656",99
"657",160
"658",150
"659",105
"660",49
"661",100
"662",100
"663",95
"664",150
"665",100
"666",80
"667",100
"668",601
"669",46
"670",100
"671",125
"672",140
"673",50
"674",160
"675",150
"676",156
"677",111
"678",95
"679",140
"680",175
"681",85
"682",300
"683",65
"684",55
"685",299
"686",350
"687",75
"688",95
"689",55
"690",40
"691",251
"692",85
"693",79
"694",111
"695",111
"696",111
"697",75
"698",120
"699",226
"700",35
"701",130
"702",80
"703",136
"704",100
"705",89
"706",110
"707",169
"708",136
"709",79
"710",95
"711",97
"712",103
"713",89
"714",226
"715",69
"716",97
"717",136
"718",114
"719",191
"720",124
"721",350
"722",69
"723",100
"724",112
"725",90
"726",99
"727",100
"728",69
"729",103
"730",100
"731",200
"732",90
"733",150
"734",99
"735",300
"736",70
"737",111
"738",70
"739",120
"740",85
"741",100
"742",100
"743",96
"744",125
"745",181
"746",99
"747",501
"748",100
"749",125
"750",130
"751",105
"752",120
"753",90
"754",93
"755",120
"756",111
"757",100
"758",111
"759",160
"760",27
"761",200
"762",199
"763",181
"764",210
"765",120
"766",70
"767",125
"768",219
"769",95
"770",136
"771",200
"772",130
"773",241
"774",165
"775",149
"776",111
"777",200
"778",115
"779",85
"780",120
"781",241
"782",95
"783",140
"784",95
"785",96
"786",125
"787",119
"788",150
"789",50
"790",130
"791",120
"792",85
"793",451
"794",79
"795",276
"796",95
"797",100
"798",185
"799",82
"800",120
"801",90
"802",80
"803",360
"804",79
"805",84
"806",100
"807",49
"808",230
"809",99
"810",72
"811",120
"812",140
"813",120
"814",99
"815",111
"816",125
"817",181
"818",30
"819",79
"820",350
"821",120
"822",149
"823",120
"824",90
"825",130
"826",120
"827",200
"828",79
"829",99
"830",35
"831",120
"832",95
"833",111
"834",120
"835",125
"836",136
"837",125
"838",150
"839",199
"840",321
"841",110
"842",200
"843",129
"844",136
"845",81
"846",110
"847",191
"848",100
"849",50
"850",99
"851",89
"852",69
"853",150
"854",150
"855",111
"856",300
"857",185
"858",150
"859",90
"860",85
"861",85
"862",71
"863",120
"864",175
"865",120
"866",111
"867",200
"868",190
"869",99
"870",142
"871",111
"872",300
"873",155
"874",85
"875",251
"876",120
"877",125
"878",75
"879",60
"880",100
"881",100
"882",95
"883",180
"884",100
"885",70
"886",99
"887",195
"888",120
"889",75
"890",35
"891",149
"892",49
"893",120
"894",75
"895",80
"896",110
"897",60
"898",150
"899",88
"900",80
"901",98
"902",120
"903",120
"904",129
"905",112
"906",100
"907",200
"908",95
"909",136
"910",160
"911",140
"912",112
"913",120
"914",105
"915",74
"916",95
"917",286
"918",125
"919",125
"920",91
"921",69
"922",90
"923",120
"924",200
"925",125
"926",220
"927",150
"928",150
"929",125
"930",70
"931",125
"932",111
"933",120
"934",79
"935",226
"936",115
"937",165
"938",120
"939",125
"940",175
"941",150
"942",115
"943",200
"944",120
"945",115
"946",159
"947",99
"948",185
"949",150
"950",95
"951",80
"952",85
"953",111
"954",105
"955",120
"956",100
"957",69
"958",401
"959",200
"960",120
"961",115
"962",195
"963",100
"964",120
"965",80
"966",120
"967",91
"968",175
"969",150
"970",98
"971",160
"972",200
"973",60
"974",100
"975",130
"976",150
"977",125
"978",120
"979",150
"980",95
"981",90
"982",111
"983",195
"984",95
"985",85
"986",65
"987",100
"988",111
"989",180
"990",99
"991",60
"992",150
"993",95
"994",226
"995",99
"996",280
"997",125
"998",120
"999",367
"1000",80
"1001",149
"1002",100
"1003",125
"1004",120
"1005",99
"1006",100
"1007",111
"1008",120
"1009",210
"1010",89
"1011",125
"1012",175
"1013",111
"1014",97
"1015",175
"1016",98
"1017",70
"1018",251
"1019",60
"1020",90
"1021",129
"1022",70
"1023",84
"1024",25
"1025",125
"1026",89
"1027",70
"1028",25
"1029",60
"1030",169
"1031",95
"1032",140
"1033",110
"1034",79
"1035",171
"1036",99
"1037",130
"1038",90
"1039",100
"1040",180
"1041",69
"1042",195
"1043",120
"1044",181
"1045",105
"1046",49
"1047",160
"1048",65
"1049",129
"1050",100
"1051",125
"1052",175
"1053",65
"1054",120
"1055",65
"1056",99
"1057",99
"1058",146
"1059",130
"1060",74
"1061",100
"1062",95
"1063",124
"1064",60
"1065",169
"1066",125
"1067",75
"1068",52
"1069",140
"1070",123
"1071",111
"1072",150
"1073",75
"1074",120
"1075",40
"1076",120
"1077",139
"1078",100
"1079",120
"1080",280
"1081",391
"1082",181
"1083",130
"1084",79
"1085",36
"1086",95
"1087",80
"1088",99
"1089",175
"1090",125
"1091",99
"1092",290
"1093",136
"1094",75
"1095",95
"1096",160
"1097",50
"1098",200
"1099",99
"1100",95
"1101",125
"1102",226
"1103",300
"1104",300
"1105",150
"1106",181
"1107",210
"1108",111
"1109",111
"1110",85
"1111",136
"1112",150
"1113",105
"1114",100
"1115",191
"1116",59
"1117",111
"1118",100
"1119",120
"1120",50
"1121",114
"1122",160
"1123",86
"1124",65
"1125",85
"1126",181
"1127",150
"1128",136
"1129",99
"1130",25
"1131",95
"1132",94
"1133",165
"1134",129
"1135",150
"1136",241
"1137",89
"1138",129
"1139",110
"1140",98
"1141",111
"1142",70
"1143",60
"1144",296
"1145",100
"1146",100
"1147",129
"1148",150
"1149",125
"1150",115
"1151",95
"1152",251
"1153",169
"1154",75
"1155",80
"1156",140
"1157",120
"1158",136
"1159",99
"1160",120
"1161",65
"1162",77
"1163",111
"1164",105
"1165",95
"1166",120
"1167",99
"1168",35
"1169",150
"1170",120
"1171",90
"1172",50
"1173",105
"1174",150
"1175",95
"1176",90
"1177",125
"1178",276
"1179",125
"1180",110
"1181",70
"1182",40
"1183",99
"1184",140
"1185",111
"1186",95
"1187",381
"1188",69
"1189",276
"1190",175
"1191",91
"1192",150
"1193",100
"1194",150
"1195",125
"1196",111
"1197",280
"1198",115
"1199",95
"1200",124
"1201",99
"1202",90
"1203",85
"1204",60
"1205",111
"1206",129
"1207",181
"1208",100
"1209",99
"1210",100
"1211",45
"1212",159
"1213",129
"1214",115
"1215",209
"1216",159
"1217",90
"1218",99
"1219",102
"1220",129
"1221",85
"1222",200
"1223",100
"1224",150
"1225",140
"1226",125
"1227",100
"1228",150
"1229",99
"1230",111
"1231",39
"1232",80
"1233",200
"1234",130
"1235",110
"1236",65
"1237",115
"1238",70
"1239",195
"1240",100
"1241",85
"1242",85
"1243",75
"1244",130
"1245",49
"1246",52
"1247",140
"1248",175
"1249",129
"1250",139
"1251",99
"1252",99
"1253",129
"1254",150
"1255",60
"1256",90
"1257",114
"1258",160
"1259",125
"1260",60
"1261",149
"1262",70
"1263",111
"1264",95
"1265",120
"1266",150
"1267",95
"1268",120
"1269",130
"1270",105
"1271",95
"1272",134
"1273",95
"1274",155
"1275",165
"1276",181
"1277",115
"1278",50
"1279",140
"1280",69
"1281",105
"1282",79
"1283",95
"1284",80
"1285",150
"1286",150
"1287",90
"1288",45
"1289",411
"1290",230
"1291",80
"1292",85
"1293",136
"1294",149
"1295",19
"1296",195
"1297",46
"1298",145
"1299",105
"1300",159
"1301",59
"1302",226
"1303",111
"1304",129
"1305",111
"1306",111
"1307",220
"1308",120
"1309",181
"1310",65
"1311",34
"1312",100
"1313",99
"1314",125
"1315",105
"1316",99
"1317",130
