,bathrooms,accommodates,distance_to_dam,bedrooms,review_scores_location,review_scores_communication,reviews_per_month,review_scores_checkin,beds,review_scores_value
11489,1.0,2,2.28,2.0,10.0,10.0,0.62,10.0,1.0,10.0
13286,1.5,2,4.011,1.0,9.0,10.0,1.58,10.0,1.0,10.0
2576,1.0,2,0.179,1.0,10.0,10.0,2.13,9.0,1.0,9.0
13678,1.5,4,5.781,2.0,9.0,10.0,0.22,10.0,1.0,9.0
5038,1.0,2,2.64,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12027,1.0,2,2.159,1.0,10.0,10.0,0.91,10.0,1.0,10.0
1703,1.0,2,0.574,2.0,10.0,10.0,0.48,10.0,2.0,10.0
4649,1.0,4,2.314,1.0,9.0,10.0,0.48,10.0,2.0,9.0
6938,1.0,2,2.184,1.0,9.0,10.0,0.45,10.0,2.0,10.0
9101,1.0,4,3.554,2.0,9.0,10.0,2.16,9.0,2.0,9.0
5296,1.0,2,2.367,1.0,9.0,10.0,1.42,10.0,1.0,9.0
1356,1.0,3,0.343,1.0,10.0,10.0,1.89,10.0,2.0,9.0
2185,1.0,2,1.111,1.0,10.0,10.0,0.67,9.0,2.0,9.0
12500,1.0,4,2.757,2.0,9.0,10.0,0.41,9.0,2.0,10.0
2328,1.0,2,1.218,2.0,10.0,9.0,0.2,9.0,2.0,7.0
13822,1.5,6,6.913,2.0,10.0,9.0,0.16,10.0,2.0,8.0
7248,1.0,2,1.763,0.0,9.0,9.0,0.63,9.0,1.0,9.0
6078,1.0,4,3.307,2.0,10.0,10.0,0.26,10.0,2.0,9.0
9802,1.0,3,2.569,1.0,10.0,9.0,1.7,8.0,3.0,9.0
756,1.0,6,2.888,2.0,0.0,0.0,0.0,0.0,4.0,0.0
9554,1.0,2,4.025,1.0,9.0,10.0,0.81,10.0,2.0,10.0
9738,1.5,3,3.576,1.0,10.0,10.0,3.67,10.0,1.0,10.0
12583,1.0,2,2.384,1.0,9.0,10.0,1.39,10.0,1.0,9.0
5583,1.0,3,3.136,1.0,8.0,9.0,2.75,9.0,3.0,9.0
3394,1.0,4,3.187,2.0,8.0,9.0,0.3,10.0,2.0,9.0
1181,1.0,2,0.952,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4612,1.0,2,1.99,1.0,2.0,2.0,0.16,10.0,1.0,4.0
3693,1.0,4,1.247,2.0,10.0,9.0,3.64,9.0,4.0,9.0
2695,1.0,2,0.364,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12117,1.5,4,2.712,4.0,9.0,10.0,0.43,10.0,6.0,9.0
12951,1.0,2,3.31,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9753,1.0,4,1.806,1.0,10.0,10.0,6.88,9.0,2.0,9.0
4780,1.0,2,1.35,1.0,10.0,10.0,0.73,10.0,1.0,9.0
2137,1.0,2,0.676,0.0,10.0,9.0,3.05,10.0,2.0,9.0
3864,1.0,3,0.598,1.0,0.0,0.0,0.0,0.0,2.0,0.0
12922,1.5,4,3.084,2.0,9.0,10.0,1.9,10.0,4.0,10.0
8601,1.0,4,2.422,2.0,9.0,10.0,1.66,10.0,2.0,9.0
11102,1.0,2,2.472,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3185,1.0,5,3.932,2.0,10.0,10.0,0.12,10.0,5.0,10.0
549,2.0,6,3.344,4.0,0.0,0.0,0.0,0.0,4.0,0.0
13025,1.0,6,2.303,3.0,9.0,10.0,1.03,10.0,4.0,9.0
5950,1.0,2,3.982,1.0,9.0,10.0,0.83,10.0,1.0,10.0
5116,1.0,4,2.622,2.0,0.0,0.0,0.0,0.0,4.0,0.0
12705,1.0,2,2.455,1.0,10.0,9.0,0.55,9.0,1.0,9.0
11258,1.5,4,1.752,1.0,0.0,0.0,0.0,0.0,1.0,0.0
957,1.0,5,5.885,3.0,9.0,10.0,1.56,10.0,5.0,10.0
8282,1.0,2,2.23,1.0,0.0,0.0,0.0,0.0,1.0,0.0
9914,1.0,2,3.874,1.0,9.0,10.0,1.9,10.0,1.0,9.0
1416,1.0,2,0.724,1.0,10.0,10.0,1.08,10.0,1.0,10.0
4747,1.5,2,0.622,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1937,1.0,2,0.913,1.0,10.0,10.0,0.36,10.0,1.0,9.0
6902,1.0,4,1.749,2.0,9.0,10.0,1.08,10.0,2.0,9.0
9475,1.0,4,2.505,0.0,10.0,9.0,3.94,9.0,2.0,9.0
2610,1.5,2,0.556,1.0,0.0,0.0,0.0,0.0,1.0,0.0
890,1.0,4,6.256,4.0,0.0,0.0,0.0,0.0,4.0,0.0
2607,1.0,3,0.474,1.0,10.0,10.0,4.71,10.0,1.0,9.0
13705,1.0,3,6.54,1.0,10.0,10.0,3.57,10.0,1.0,10.0
9235,1.0,2,3.603,1.0,9.0,9.0,3.43,9.0,1.0,8.0
4053,2.0,4,1.765,2.0,0.0,0.0,0.0,0.0,2.0,0.0
5146,1.0,4,2.743,2.0,8.0,10.0,0.36,10.0,2.0,9.0
6742,1.0,4,1.915,1.0,9.0,10.0,1.68,10.0,2.0,9.0
4340,1.0,3,1.573,2.0,10.0,10.0,0.09,10.0,2.0,10.0
2786,1.0,3,0.758,2.0,10.0,10.0,0.59,10.0,2.0,9.0
13272,1.0,2,6.235,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2487,1.0,2,0.183,1.0,9.0,9.0,1.53,8.0,2.0,8.0
11771,1.0,2,2.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8415,1.0,2,2.083,1.0,10.0,10.0,0.39,9.0,1.0,9.0
12250,1.0,2,1.901,1.0,9.0,10.0,0.44,10.0,1.0,10.0
122,1.0,2,4.908,1.0,8.0,8.0,2.0,9.0,1.0,8.0
274,1.0,2,3.798,1.0,9.0,10.0,0.94,10.0,1.0,9.0
9115,1.0,2,4.063,1.0,9.0,9.0,1.78,9.0,1.0,9.0
8828,1.0,2,2.144,1.0,9.0,10.0,1.64,9.0,1.0,9.0
7931,1.0,2,2.205,1.0,0.0,0.0,0.0,0.0,1.0,0.0
8373,1.0,2,1.988,1.0,10.0,10.0,0.16,10.0,1.0,10.0
5989,1.0,1,3.941,1.0,10.0,10.0,0.26,10.0,1.0,10.0
12115,1.0,2,2.596,1.0,0.0,0.0,3.0,0.0,1.0,0.0
4775,2.5,4,0.964,3.0,10.0,9.0,1.67,10.0,5.0,9.0
6101,1.0,3,3.941,2.0,8.0,10.0,0.52,10.0,2.0,8.0
1446,2.0,2,0.558,1.0,10.0,10.0,0.57,10.0,1.0,9.0
2023,1.5,4,0.577,4.0,10.0,10.0,0.86,10.0,4.0,10.0
5964,1.0,4,4.036,0.0,9.0,10.0,2.61,10.0,2.0,9.0
5932,1.0,2,4.239,0.0,9.0,10.0,2.07,10.0,1.0,9.0
6941,1.0,2,1.331,1.0,9.0,9.0,0.45,9.0,1.0,9.0
8550,1.5,6,1.876,3.0,10.0,10.0,0.09,10.0,4.0,10.0
10403,1.0,2,2.82,1.0,10.0,10.0,2.59,10.0,1.0,9.0
8114,1.0,2,3.267,1.0,9.0,10.0,0.52,10.0,2.0,9.0
1247,1.0,2,0.938,1.0,10.0,9.0,0.61,10.0,1.0,10.0
3026,2.0,4,3.952,2.0,9.0,10.0,0.14,10.0,2.0,10.0
846,1.0,3,5.713,1.0,10.0,10.0,0.26,10.0,1.0,9.0
12259,1.0,2,2.632,1.0,8.0,10.0,0.16,10.0,1.0,8.0
11374,1.0,2,2.833,1.0,9.0,9.0,1.05,7.0,1.0,9.0
7360,1.0,2,3.477,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2726,1.0,2,1.112,1.0,10.0,10.0,1.46,10.0,1.0,9.0
5640,1.0,2,2.044,1.0,10.0,9.0,3.01,9.0,1.0,9.0
3948,1.0,2,1.358,1.0,10.0,10.0,5.2,10.0,1.0,10.0
8547,1.0,2,1.822,1.0,10.0,10.0,2.16,10.0,1.0,10.0
7559,1.0,2,1.73,1.0,10.0,8.0,1.06,10.0,1.0,10.0
8076,1.0,2,2.371,1.0,10.0,10.0,0.61,10.0,1.0,10.0
7599,1.0,4,2.032,2.0,10.0,10.0,2.19,10.0,3.0,9.0
2923,1.0,2,1.016,0.0,10.0,10.0,1.36,10.0,1.0,9.0
1850,1.0,4,0.489,2.0,10.0,10.0,0.65,10.0,2.0,9.0
1512,1.0,4,0.292,2.0,0.0,0.0,0.0,0.0,2.0,0.0
2471,1.5,4,0.829,1.0,9.0,8.0,2.96,8.0,2.0,9.0
7351,1.0,2,1.741,1.0,10.0,10.0,0.92,10.0,1.0,10.0
7914,1.0,3,1.724,1.0,0.0,0.0,0.0,0.0,2.0,0.0
453,1.0,2,2.236,1.0,9.0,10.0,0.41,10.0,1.0,10.0
7861,1.0,2,1.947,1.0,10.0,10.0,3.0,10.0,2.0,9.0
6362,1.0,2,1.567,1.0,10.0,10.0,1.22,10.0,1.0,9.0
10442,1.0,2,1.852,0.0,9.0,9.0,2.3,9.0,1.0,8.0
12085,1.0,4,2.091,2.0,0.0,0.0,0.0,0.0,2.0,0.0
5859,1.0,2,3.009,1.0,0.0,0.0,0.0,0.0,1.0,0.0
6740,1.0,3,1.902,1.0,9.0,10.0,2.39,9.0,2.0,9.0
10343,1.0,2,2.244,1.0,10.0,10.0,0.14,10.0,1.0,10.0
6898,1.0,2,1.468,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2551,1.0,2,0.991,1.0,9.0,10.0,0.48,10.0,1.0,8.0
46,1.0,2,7.915,1.0,9.0,10.0,0.26,10.0,1.0,10.0
4853,1.0,2,0.981,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7642,1.0,5,3.224,1.0,9.0,10.0,0.91,10.0,1.0,8.0
5886,1.0,4,3.829,3.0,10.0,10.0,1.0,10.0,3.0,8.0
11012,1.0,2,1.499,0.0,10.0,10.0,1.0,10.0,1.0,10.0
11099,1.5,2,3.09,1.0,8.0,9.0,3.15,9.0,2.0,9.0
5339,0.5,2,1.917,1.0,8.0,10.0,0.46,10.0,1.0,8.0
11106,1.0,6,2.966,2.0,9.0,10.0,0.21,10.0,2.0,9.0
3393,2.5,6,3.339,3.0,0.0,0.0,0.0,0.0,3.0,0.0
8188,1.0,2,1.784,1.0,10.0,9.0,2.58,9.0,1.0,9.0
7303,1.0,2,7.149,1.0,8.0,10.0,0.72,10.0,2.0,9.0
3746,1.0,3,2.066,2.0,10.0,10.0,1.15,10.0,2.0,9.0
7409,1.0,5,2.281,3.0,10.0,10.0,0.43,10.0,5.0,10.0
8535,1.0,4,1.724,2.0,10.0,10.0,0.71,10.0,2.0,10.0
7738,1.0,2,2.445,1.0,10.0,9.0,0.31,10.0,1.0,9.0
11930,1.0,4,2.803,2.0,8.0,9.0,4.0,9.0,2.0,8.0
10591,1.0,2,2.579,1.0,9.0,10.0,1.13,10.0,1.0,9.0
5600,1.0,1,1.956,0.0,9.0,10.0,0.94,10.0,1.0,9.0
9748,1.0,4,3.568,3.0,0.0,0.0,0.0,0.0,3.0,0.0
10561,1.0,1,1.94,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4724,1.0,2,2.374,0.0,9.0,10.0,2.61,10.0,1.0,9.0
2370,1.0,2,1.01,1.0,10.0,9.0,0.49,9.0,1.0,9.0
4469,1.0,3,0.727,1.0,10.0,10.0,0.7,10.0,2.0,10.0
6201,1.5,3,10.0,1.0,10.0,10.0,0.12,10.0,1.0,10.0
11408,1.5,5,1.531,2.0,10.0,10.0,3.67,10.0,5.0,10.0
3093,1.0,2,3.054,1.0,9.0,10.0,0.88,10.0,1.0,9.0
6160,1.5,2,9.296,1.0,10.0,10.0,0.63,10.0,1.0,10.0
11220,1.0,2,1.377,1.0,10.0,10.0,0.62,10.0,1.0,9.0
13329,1.0,4,4.843,2.0,9.0,10.0,0.75,10.0,2.0,9.0
8315,1.0,2,2.544,1.0,9.0,7.0,6.0,7.0,1.0,7.0
8508,1.0,4,2.551,0.0,9.0,10.0,3.65,10.0,4.0,9.0
10429,1.0,4,2.082,2.0,9.0,9.0,0.39,9.0,1.0,8.0
3443,1.0,4,3.32,2.0,0.0,0.0,0.0,0.0,2.0,0.0
11848,1.0,4,1.605,4.0,10.0,9.0,2.55,9.0,4.0,10.0
5158,1.0,4,2.828,1.0,9.0,10.0,0.33,10.0,2.0,8.0
586,1.0,4,3.824,2.0,0.0,0.0,0.0,0.0,2.0,0.0
2164,1.0,2,1.247,1.0,9.0,9.0,0.4,9.0,1.0,8.0
11446,1.0,3,2.608,2.0,0.0,0.0,0.0,0.0,2.0,0.0
5712,1.0,2,2.299,1.0,9.0,10.0,0.2,10.0,1.0,10.0
13489,1.0,2,3.516,1.0,9.0,10.0,0.15,9.0,1.0,9.0
6182,1.5,2,9.696,1.0,9.0,10.0,9.97,10.0,1.0,9.0
1874,1.0,2,1.014,1.0,0.0,0.0,0.0,0.0,1.0,0.0
12747,1.0,2,3.407,1.0,9.0,10.0,2.5,10.0,1.0,10.0
5086,1.0,4,2.442,2.0,0.0,0.0,0.0,0.0,2.0,0.0
3990,1.5,2,1.126,0.0,10.0,10.0,1.09,10.0,1.0,9.0
4217,1.0,2,1.29,1.0,10.0,10.0,0.28,10.0,1.0,9.0
8685,1.0,2,1.779,1.0,9.0,10.0,0.31,10.0,1.0,9.0
3736,1.0,4,1.256,1.0,9.0,9.0,0.07,9.0,1.0,9.0
9155,1.0,4,2.013,2.0,10.0,10.0,3.69,10.0,2.0,9.0
4158,1.0,6,1.613,2.0,10.0,8.0,0.19,10.0,6.0,9.0
1127,1.0,2,0.89,0.0,10.0,10.0,1.0,10.0,1.0,10.0
9746,1.0,4,3.905,2.0,9.0,10.0,0.97,10.0,2.0,9.0
564,1.0,2,2.019,1.0,9.0,9.0,0.18,10.0,1.0,9.0
2357,1.0,4,0.403,1.0,0.0,0.0,0.0,0.0,2.0,0.0
13629,1.0,6,3.855,2.0,0.0,0.0,1.0,0.0,3.0,0.0
11704,1.0,5,1.512,2.0,10.0,10.0,1.37,10.0,4.0,9.0
2625,1.0,3,0.659,0.0,10.0,10.0,6.04,10.0,2.0,9.0
858,2.0,5,6.855,5.0,9.0,10.0,0.34,10.0,5.0,9.0
2475,1.5,2,0.775,1.0,10.0,10.0,0.81,10.0,1.0,8.0
12693,1.0,2,2.266,1.0,9.0,10.0,3.83,10.0,1.0,9.0
3688,1.0,2,1.359,1.0,9.0,9.0,1.37,8.0,1.0,8.0
12269,1.0,4,1.995,2.0,10.0,10.0,5.08,10.0,2.0,10.0
2244,1.0,4,0.842,1.0,9.0,9.0,2.09,9.0,2.0,8.0
8529,2.0,4,2.431,2.0,9.0,10.0,0.43,10.0,2.0,10.0
1135,1.0,2,0.99,0.0,10.0,10.0,6.49,10.0,1.0,10.0
2059,1.0,2,0.365,1.0,10.0,10.0,0.17,10.0,1.0,10.0
4988,1.0,4,1.944,1.0,9.0,10.0,1.77,10.0,3.0,9.0
2818,1.0,3,0.365,1.0,10.0,10.0,2.5,10.0,2.0,9.0
10575,1.0,3,2.176,1.0,9.0,10.0,3.28,10.0,3.0,8.0
11262,1.0,2,1.564,1.0,10.0,10.0,0.9,10.0,1.0,10.0
3843,2.5,6,1.335,3.0,10.0,10.0,0.35,10.0,6.0,9.0
5982,1.0,2,4.079,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13829,1.0,1,5.807,1.0,10.0,10.0,1.79,10.0,1.0,9.0
4132,1.0,1,1.151,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2701,1.0,3,0.894,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3515,1.0,2,2.894,1.0,10.0,10.0,0.49,10.0,1.0,10.0
2083,1.0,2,0.431,1.0,10.0,10.0,0.32,10.0,1.0,9.0
11352,1.0,2,1.429,1.0,0.0,0.0,0.0,0.0,1.0,0.0
10145,1.0,2,1.809,1.0,10.0,10.0,0.81,10.0,1.0,8.0
7412,1.0,2,1.758,1.0,0.0,0.0,0.0,0.0,1.0,0.0
5394,1.0,2,2.815,0.0,9.0,10.0,2.38,10.0,1.0,10.0
13637,1.0,3,4.141,2.0,9.0,10.0,1.42,9.0,2.0,10.0
3318,1.0,3,3.632,2.0,0.0,0.0,0.0,0.0,2.0,0.0
10114,1.0,4,2.158,2.0,9.0,10.0,0.19,10.0,2.0,9.0
2407,1.0,2,0.973,1.0,10.0,10.0,2.07,10.0,1.0,9.0
9740,1.0,2,3.628,1.0,9.0,10.0,0.77,10.0,1.0,9.0
9821,1.0,2,3.196,1.0,10.0,10.0,1.95,10.0,2.0,9.0
5065,1.0,3,2.963,1.0,9.0,10.0,0.49,10.0,1.0,9.0
5391,1.0,3,2.636,0.0,9.0,10.0,1.8,10.0,2.0,8.0
1082,1.0,4,0.319,1.0,10.0,9.0,3.73,9.0,1.0,9.0
