"","bedrooms","distance_to_dam","accommodates","review_scores_communication","review_scores_location","host_response_time","bathrooms","beds","reviews_per_month","review_scores_value"
"12346",1,3.12809978944,4,10,10,3,1,2,0.49,9
"12347",1,2.3940591785,2,0,0,1,1,2,0,0
"12348",1,2.84732241946,2,9,9,2,1,1,2,7
"12349",1,1.44079541288,2,10,10,2,1,1,0.76,10
"12350",1,1.56664130411,2,9,10,1,1,1,1.81,7
"12351",1,2.29506897829,4,10,8,1,1,4,0.26,9
"12352",1,2.47010633387,4,9,5,1,1,2,0.08,5
"12353",2,2.3597308916,4,10,10,3,1,2,0.41,10
"12354",1,2.79103208437,2,9,7,3,1,1,2.64,8
"12355",1,1.42137720914,2,9,9,4,1.5,2,2.31,9
"12356",3,2.69384816159,4,0,0,1,1,4,0,0
"12357",1,2.22617309696,2,10,10,1,1,1,0.97,9
"12358",1,2.56710752702,2,10,9,3,1,1,1.63,9
"12359",1,3.03581718834,2,10,9,4,1,1,0.62,10
"12360",1,2.36684742671,2,9,8,1,0,2,0.3,7
"12361",1,2.22518489237,2,0,0,3,1,1,0,0
"12362",1,2.78061975741,4,10,10,1,1,2,4,9
"12363",1,2.84487506711,2,10,9,1,1,1,0.56,9
"12364",1,2.06956795973,2,10,9,1,1,1,2.23,9
"12365",1,2.94024495769,2,10,10,4,0.5,1,0.16,10
"12366",3,1.28926198386,6,0,0,2,2,3,0,0
"12367",2,2.40225441787,4,10,10,2,2,2,1.29,10
"12368",1,2.18395502256,2,10,9,2,1,1,4.69,9
"12369",1,2.65139597743,2,10,10,4,1,1,0.11,10
"12370",1,1.35378109097,2,10,9,1,1,1,1.36,9
"12371",1,1.35823544981,2,10,10,4,1,1,0.25,10
"12372",1,2.87012994181,4,10,8,2,1,4,1,10
"12373",2,2.39853268748,4,10,10,2,1,2,0.18,10
"12374",1,2.30825929286,2,10,10,2,1,1,0.93,9
"12375",2,2.21152652231,4,9,9,1,1,2,5.06,8
"12376",1,2.38692235245,2,10,9,1,1,1,0.96,9
"12377",1,1.99321978128,4,10,9,1,1,2,3.79,9
"12378",1,1.26876241047,2,9,10,3,1,1,5.08,9
"12379",3,1.38279456516,4,0,0,1,3.5,3,0,0
"12380",1,1.72795074453,5,9,9,3,1,3,1.47,8
"12381",2,2.84363598503,2,0,0,1,1,1,0,0
"12382",2,2.10636211065,4,10,10,1,2,3,1,10
"12383",1,1.36812020052,2,10,10,2,1,2,3.14,9
"12384",2,1.94029792695,4,10,10,3,1,2,0.67,10
"12385",1,1.88897960937,2,10,10,2,1,1,0.21,8
"12386",2,2.36197802517,4,10,10,3,1,2,0.9,10
"12387",1,1.93570080258,1,10,10,2,1,1,1,10
"12388",1,1.74414337036,2,10,10,4,1,1,0.09,10
"12389",2,2.86124452665,2,10,9,4,1,1,0.66,9
"12390",1,2.08068002314,2,10,9,1,1,1,5,10
"12391",1,2.86371071416,2,0,0,1,1,2,0,0
"12392",1,2.85734649143,2,10,9,2,1,1,1.06,10
"12393",1,2.20356116942,2,9,9,4,1,1,0.16,9
"12394",1,1.70753457825,2,10,10,3,1,1,0.99,9
"12395",1,2.17170100136,4,10,10,4,1,2,0.47,10
"12396",3,2.44087166053,4,10,9,1,1,3,0.41,10
