"","bedrooms","distance_to_dam","accommodates","review_scores_communication","review_scores_location","host_response_time","bathrooms","beds","reviews_per_month","review_scores_value"
"7526",0,2.45409722647,2,10,10,1,1,1,2.43,10
"7527",0,2.74103491693,2,10,9,3,1,1,1.6,9
"7528",1,3.3085643304,2,9,9,4,1,1,0.21,6
"7529",1,2.1233528807,4,10,10,3,1,1,1.06,9
"7530",1,2.12226683929,2,0,0,1,1,1,0,0
"7531",1,1.86229125964,4,8,9,1,1,4,0.82,8
"7532",2,3.38275524389,3,10,9,2,1,1,2.55,9
"7533",2,2.94242844221,4,0,0,2,1,4,1,0
"7534",1,2.3684323636,2,10,10,4,1,1,0.83,9
"7535",0,1.87903726563,4,10,10,2,1,2,2.31,9
"7536",2,2.59661108416,4,10,10,2,1,2,1.15,9
"7537",1,3.14856775747,2,0,0,4,1,1,0,0
"7538",1,2.31423352088,2,10,9,2,1,1,0.82,9
"7539",2,1.88042340611,4,10,10,2,1,4,0.31,10
"7540",1,3.48223322963,2,9,8,2,1,1,0.32,8
"7541",1,1.84257590183,2,10,10,4,1,1,0.22,8
"7542",1,2.72862887771,2,10,10,4,1,1,0.28,9
"7543",1,2.45818925907,2,9,10,4,1,1,0.47,9
"7544",2,2.38222105982,4,10,10,3,1,2,0.12,10
"7545",2,2.45977237914,4,10,10,3,1,2,0.45,8
"7546",2,1.84014019248,4,9,10,1,1,2,1.05,9
"7547",3,1.78819342106,8,10,10,2,2,6,0.32,10
"7548",1,2.37401802561,2,10,10,2,1,1,0.16,10
"7549",1,3.56039195255,2,10,10,2,1,1,0.67,10
"7550",1,1.89476901103,2,10,10,2,1,1,1.49,10
"7551",1,2.90608209785,2,10,10,3,1,2,0.8,10
"7552",2,3.04645290414,4,0,0,2,2,4,0,0
"7553",1,3.67715830966,4,10,9,2,1,2,3.8,9
"7554",2,2.23034906624,3,10,9,1,1,2,6,9
"7555",1,1.83658730732,2,10,10,4,1,1,0.35,10
"7556",1,3.43920907325,2,0,0,4,1.5,1,0,0
"7557",1,3.50121170764,2,10,10,1,1,1,0.38,9
"7558",1,2.22574420391,4,10,10,1,1,2,1.17,9
"7559",2,2.21769624831,6,10,9,3,1.5,6,3.48,9
"7560",1,1.72973664254,2,8,10,3,1,1,1.06,10
"7561",4,2.86392249238,8,8,6,4,2,4,0.16,8
"7562",1,2.60911170098,2,0,0,4,1,1,0,0
"7563",1,1.71842665341,3,10,10,4,1,2,0.37,8
"7564",1,1.8040429906,2,10,10,2,1,1,0.95,9
"7565",1,2.97853590941,2,10,10,1,1,1,0.33,10
"7566",0,2.72315437425,4,10,10,1,1,1,2.94,9
"7567",1,2.46818212028,2,10,10,3,1,1,2.08,10
"7568",1,2.11999306951,2,10,10,4,1,1,0.14,8
"7569",0,1.74379307597,2,10,10,3,1,1,1.95,9
"7570",2,2.00117627689,4,10,10,1,1.5,2,3.09,9
"7571",1,2.10094167923,2,10,10,1,1,1,0.26,10
"7572",1,1.89249985688,2,10,10,2,1,1,0.86,10
"7573",1,2.9525919725,2,10,10,2,1,1,2.16,10
"7574",2,3.16569915636,4,10,9,4,1,4,4.46,9
"7575",3,3.00639741307,4,9,9,1,1.5,4,1.7,9
"7576",1,2.94635034061,2,0,0,1,1,2,0,0
"7577",1,3.01079266672,2,0,0,4,1,1,0,0
"7578",1,2.84458810825,2,8,8,2,1,1,1,8
"7579",1,1.81793369592,2,0,0,2,1.5,1,0,0
"7580",1,3.17188079534,2,0,0,3,1,1,0,0
"7581",0,1.7723420808,2,10,10,2,1,1,2.12,9
"7582",0,1.99700942564,2,10,9,1,1,1,2.09,9
"7583",1,2.06762730066,2,10,9,1,1,1,1.49,9
"7584",3,3.70980999236,7,10,9,1,2,6,2.97,10
"7585",2,2.55338845314,4,10,9,2,1,2,1.03,8
"7586",0,1.90634091582,2,10,9,1,1,1,0.92,9
"7587",2,1.52055742555,3,10,10,1,1,2,0.67,10
"7588",2,2.96179224934,5,10,9,1,1,3,1.06,8
"7589",3,3.43298234452,4,10,9,2,1.5,3,0.27,8
"7590",1,2.07645526705,1,10,10,4,1,1,0.16,10
"7591",1,2.3114993476,1,0,0,3,1,1,0,0
"7592",2,2.0090415387,4,10,10,1,1.5,4,1.64,9
"7593",2,2.35553140212,4,10,10,1,1.5,2,0.73,10
"7594",2,2.22549863552,4,10,10,3,1,2,0.98,9
"7595",1,2.38862528027,2,10,10,3,1,1,0.11,10
"7596",1,2.29407415934,2,10,8,3,1,1,1.18,9
"7597",2,2.88374490066,3,0,0,4,1,4,0,0
