bathrooms,accommodates,distance_to_dam,beds,reviews_per_month,bedrooms,review_scores_cleanliness,review_scores_checkin,guests_included,review_scores_communication
1.0,2,4.80384600717,1.0,0.25,1.0,0.0,0.0,0,0.0
1.0,2,1.99373842552,1.0,0.09,1.0,9.0,9.0,1,10.0
1.0,2,1.79988868463,1.0,2.38,0.0,10.0,10.0,1,10.0
1.0,2,2.87146010481,1.0,2.79,1.0,9.0,10.0,1,10.0
1.0,4,2.2291790323,2.0,0.0,2.0,0.0,0.0,1,0.0
1.0,2,1.28437984174,1.0,5.27,1.0,10.0,9.0,1,9.0
1.0,3,0.851652827888,2.0,2.46,1.0,9.0,10.0,1,10.0
1.0,2,0.968857398847,1.0,5.57,1.0,9.0,9.0,1,9.0
1.0,2,1.28573832433,1.0,1.22,1.0,9.0,10.0,1,10.0
1.5,2,2.46927850359,1.0,0.0,1.0,0.0,0.0,1,0.0
1.5,2,1.29463615107,1.0,0.26,1.0,10.0,10.0,1,10.0
1.0,2,1.07757647058,1.0,0.52,1.0,10.0,10.0,2,10.0
1.0,2,3.02781589709,1.0,2.8,1.0,9.0,10.0,1,10.0
1.0,2,2.45324626834,1.0,3.46,1.0,10.0,9.0,1,10.0
1.0,3,3.70054542303,2.0,0.54,2.0,9.0,10.0,1,10.0
1.0,4,2.84118722773,2.0,3.0,1.0,9.0,10.0,1,10.0
1.0,2,0.379414146079,1.0,5.13,1.0,10.0,10.0,1,10.0
1.0,4,2.82847976869,2.0,0.33,1.0,10.0,10.0,2,10.0
1.0,2,1.50718718641,1.0,4.04,1.0,10.0,10.0,1,10.0
1.0,2,1.80798272235,1.0,0.22,1.0,10.0,10.0,1,9.0
1.0,2,2.50145169285,1.0,0.66,1.0,9.0,9.0,1,10.0
1.0,2,2.99318236396,1.0,0.88,1.0,8.0,10.0,1,10.0
1.0,4,2.30677879311,2.0,2.07,2.0,10.0,10.0,1,10.0
1.0,2,1.96554299694,1.0,1.93,1.0,10.0,10.0,1,10.0
1.0,4,2.1222082021,3.0,0.3,1.0,10.0,10.0,1,10.0
1.0,4,2.18215159475,2.0,1.0,2.0,10.0,10.0,3,10.0
1.0,2,0.988985008603,1.0,0.0,0.0,0.0,0.0,1,0.0
1.0,2,2.92615762186,1.0,0.95,1.0,10.0,10.0,1,10.0
1.0,4,1.98031368751,2.0,3.89,2.0,10.0,10.0,1,10.0
1.0,4,2.30095142799,2.0,0.81,1.0,10.0,10.0,1,9.0
1.0,4,2.59130965538,3.0,0.0,3.0,0.0,0.0,1,0.0
1.0,3,4.80664046979,1.0,2.0,1.0,10.0,8.0,1,9.0
1.0,2,1.44408857535,1.0,0.95,1.0,10.0,10.0,1,10.0
1.0,4,3.40625722432,2.0,1.2,2.0,10.0,10.0,2,10.0
1.0,2,2.90860497682,1.0,5.16,1.0,10.0,10.0,0,10.0
1.0,2,3.81329962177,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.76822407645,1.0,1.0,1.0,10.0,10.0,1,10.0
1.0,2,2.85344130671,1.0,0.0,1.0,0.0,0.0,1,0.0
1.5,2,3.81378708907,1.0,0.48,1.0,10.0,10.0,2,10.0
1.0,2,2.63429791866,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.61601726245,1.0,1.29,1.0,9.0,9.0,2,9.0
1.0,4,1.73232026288,2.0,0.24,2.0,10.0,10.0,2,10.0
1.0,2,1.26484169704,1.0,0.89,1.0,8.0,10.0,2,10.0
2.0,2,3.00146291118,1.0,0.16,1.0,9.0,9.0,1,9.0
1.0,5,3.84375061561,5.0,0.51,4.0,10.0,10.0,1,10.0
1.0,4,2.49352678587,2.0,1.3,2.0,9.0,10.0,1,10.0
1.0,2,0.394841050492,1.0,1.0,1.0,10.0,10.0,2,10.0
1.0,2,2.31629595628,1.0,0.26,1.0,9.0,7.0,1,8.0
1.0,4,2.99378204305,5.0,0.79,3.0,8.0,10.0,1,9.0
1.0,2,3.38274221208,1.0,0.37,1.0,10.0,10.0,1,10.0
1.0,2,2.17613556125,1.0,0.38,1.0,10.0,10.0,0,9.0
1.0,2,3.51247003143,1.0,2.0,1.0,9.0,7.0,1,8.0
1.0,2,1.96539023688,1.0,2.01,1.0,10.0,10.0,1,10.0
1.5,2,2.72020040354,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,3.17254690416,1.0,0.39,1.0,10.0,7.0,1,8.0
1.0,3,1.90327358128,2.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,3.38013757104,1.0,1.46,1.0,10.0,10.0,1,10.0
1.0,4,1.03374169268,3.0,1.78,2.0,8.0,9.0,1,9.0
1.0,3,9.87793733652,2.0,0.0,2.0,0.0,0.0,1,0.0
1.5,4,2.28536142051,2.0,3.61,1.0,9.0,9.0,1,9.0
1.0,2,3.77355073232,2.0,1.03,1.0,9.0,9.0,1,10.0
1.0,2,2.98848654787,1.0,0.59,1.0,8.0,10.0,1,10.0
1.0,4,4.15866999703,2.0,2.9,2.0,9.0,10.0,2,10.0
1.5,2,0.982853732021,1.0,2.12,1.0,10.0,10.0,2,10.0
1.0,4,3.32982498834,2.0,1.41,2.0,10.0,9.0,2,10.0
1.0,2,1.11477156156,1.0,2.03,1.0,10.0,10.0,1,10.0
1.0,3,2.33782650999,2.0,0.22,1.0,10.0,10.0,1,9.0
1.0,2,5.53167282178,1.0,3.16,1.0,7.0,8.0,2,8.0
1.0,4,1.75745299262,4.0,0.34,3.0,8.0,9.0,4,9.0
1.0,2,1.46780875419,1.0,0.0,1.0,0.0,0.0,1,0.0
1.5,4,2.75858004701,2.0,0.0,2.0,0.0,0.0,2,0.0
1.0,2,0.425496890631,1.0,0.1,1.0,10.0,10.0,1,10.0
1.0,2,1.67908123836,1.0,3.02,0.0,7.0,8.0,1,8.0
1.0,2,3.26116776709,1.0,2.72,1.0,9.0,7.0,1,7.0
1.0,4,3.3678773272,1.0,0.56,2.0,9.0,9.0,0,9.0
1.0,2,3.45533434254,1.0,1.14,1.0,9.0,10.0,1,10.0
1.0,5,2.23228005954,3.0,0.6,3.0,9.0,10.0,1,10.0
1.0,2,2.70901859941,1.0,0.0,0.0,0.0,0.0,1,0.0
1.0,2,1.49606693208,1.0,0.2,1.0,10.0,10.0,1,10.0
1.0,2,0.182821265523,2.0,1.53,1.0,7.0,8.0,1,9.0
1.0,4,2.13661809402,4.0,0.78,2.0,10.0,10.0,3,10.0
1.0,3,1.86520391891,1.0,0.41,1.0,8.0,10.0,1,10.0
1.0,2,2.18217601241,1.0,3.53,1.0,9.0,10.0,1,10.0
1.0,2,1.28322676004,1.0,4.7,1.0,8.0,9.0,1,9.0
1.0,2,1.85714277761,1.0,2.75,1.0,9.0,10.0,1,10.0
1.0,4,6.98907329243,2.0,0.0,2.0,0.0,0.0,1,0.0
1.0,2,0.341466555818,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.18208426292,1.0,1.28,1.0,9.0,10.0,2,9.0
1.5,3,2.83661529953,1.0,0.69,1.0,10.0,10.0,0,10.0
1.0,4,1.25597591845,1.0,0.07,1.0,9.0,9.0,2,9.0
1.0,2,3.77287144219,1.0,0.91,1.0,10.0,10.0,2,10.0
1.0,2,1.72224237356,1.0,0.59,1.0,10.0,10.0,0,10.0
1.0,2,7.8799068437,1.0,4.04,1.0,10.0,10.0,2,10.0
1.0,2,2.46546422994,1.0,0.36,1.0,10.0,10.0,1,10.0
1.5,6,0.478553527724,3.0,1.65,2.0,9.0,9.0,2,9.0
1.0,5,2.92396978551,3.0,0.55,1.0,7.0,9.0,0,10.0
1.0,2,2.41872879183,1.0,0.48,1.0,10.0,10.0,1,10.0
1.0,2,1.08745952813,1.0,1.71,1.0,10.0,10.0,1,9.0
1.0,4,1.96517526763,4.0,1.88,1.0,9.0,10.0,2,10.0
1.0,2,1.147308881,1.0,4.0,1.0,10.0,10.0,1,10.0
1.0,2,1.35512625893,2.0,1.25,1.0,8.0,10.0,1,10.0
1.0,4,3.20757930294,2.0,0.45,2.0,8.0,10.0,2,9.0
1.0,3,0.857099869919,2.0,0.31,2.0,10.0,10.0,2,10.0
1.0,2,1.99115020302,1.0,2.4,1.0,9.0,10.0,1,10.0
1.0,4,4.16158961092,4.0,0.0,2.0,0.0,0.0,1,0.0
1.5,3,2.23290836538,2.0,0.74,1.0,9.0,9.0,1,10.0
1.0,2,1.80534977476,1.0,0.56,2.0,10.0,10.0,2,10.0
1.5,4,2.96704811035,3.0,3.0,2.0,10.0,10.0,2,10.0
1.0,3,4.11325598128,2.0,0.73,0.0,10.0,10.0,1,10.0
1.5,2,0.555708509397,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.47433185472,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,6.03051049674,1.0,0.53,1.0,10.0,10.0,1,10.0
1.0,2,3.18678451207,1.0,0.0,1.0,0.0,0.0,1,0.0
1.0,2,1.77934444333,1.0,0.31,1.0,10.0,10.0,1,10.0
1.0,4,1.40065201114,2.0,0.33,2.0,10.0,10.0,2,10.0
1.0,4,2.68531722402,3.0,0.0,3.0,0.0,0.0,1,0.0
1.0,2,2.42122056122,1.0,1.38,1.0,10.0,10.0,1,10.0
1.5,4,8.31280866832,4.0,0.0,2.0,0.0,0.0,1,0.0
1.0,4,1.91546465061,1.0,0.27,1.0,9.0,10.0,2,9.0
1.0,2,1.93277094776,1.0,0.03,1.0,10.0,10.0,1,10.0
1.0,4,3.30390927523,3.0,0.0,3.0,0.0,0.0,1,0.0
1.0,4,0.705702539525,2.0,2.66,1.0,9.0,10.0,2,10.0
1.0,3,2.27785668049,1.0,1.67,1.0,9.0,10.0,2,10.0
1.5,2,1.10080655311,1.0,0.73,1.0,8.0,10.0,1,10.0
1.0,2,2.64491879078,1.0,0.33,1.0,10.0,10.0,1,10.0
1.0,4,1.6613885046,2.0,0.58,2.0,9.0,10.0,2,10.0
1.0,2,1.49233987637,1.0,0.96,1.0,10.0,10.0,1,10.0
1.0,2,2.11197397329,1.0,0.57,1.0,8.0,9.0,1,9.0
1.0,2,4.6081179476,1.0,0.19,1.0,7.0,9.0,1,10.0
1.0,2,3.40723332508,1.0,2.5,1.0,10.0,10.0,1,10.0
1.5,4,2.35454682906,2.0,0.77,2.0,10.0,8.0,4,8.0
1.0,3,3.86349147201,2.0,5.14,2.0,10.0,10.0,1,10.0
1.0,4,1.69176645023,2.0,0.38,2.0,10.0,10.0,1,10.0
1.0,2,1.43712711731,1.0,5.29,1.0,9.0,10.0,1,10.0
1.0,4,3.00777758766,2.0,0.33,2.0,10.0,10.0,2,9.0
1.0,2,1.33186478061,1.0,0.67,1.0,10.0,10.0,1,10.0
1.0,2,0.727838388764,1.0,1.14,1.0,10.0,10.0,1,10.0
1.0,2,1.34251499894,1.0,2.07,1.0,10.0,10.0,2,10.0
1.0,2,0.720188001976,1.0,0.25,1.0,9.0,9.0,2,9.0
1.0,4,0.347328264303,4.0,0.1,0.0,10.0,10.0,1,8.0
1.0,2,2.58464842028,1.0,0.86,1.0,10.0,10.0,1,10.0
