"very.small" "small" "medium" "large" "very.large"
5 5 5 5 5
0 0.278448531676398 0.614045932610628 0.808437121474884 0.517048690870405
0.954968865670754 0.384141934032103 0.161624954525312 0.118730395119441 0.988429033403593
